title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Аналитик,Рекрутинговое агентство CHANGE (ИП Куприянова),Астана,"от 350 000 ₸ за месяц, на руки","Цель роли:

Собирать, анализировать и интерпретировать данные по всем ключевым направлениям: от скорости доставки до эффективности каждого курьера. Помогать руководителям принимать решения на основе цифр, а не ощущений.

Основные задачи:

Аналитика и отчётность:

Сбор, обработка и визуализация данных из курьерской программы, CRM и Excel-отчётов

Построение дашбордов в Power BI / Google Data Studio / Excel для руководителей отделов

Подготовка ежедневных, еженедельных и ежемесячных отчётов по ключевым метрикам:

скорость обработки заказов

выполнение сроков доставки (SLA)

загрузка и производительность курьеров

% возвратов и отказов

конверсия заявка → доставка

Работа с KPI:

Расчёт KPI для курьеров, операторов, логистов

Разработка формул, норм, стандартов и визуализация выполнения планов

Поддержка системы бонусов и мотивации на основе данных

Автоматизация и оптимизация:

Автоматизация повторяющихся отчётов

Выявление «узких мест» в логистических процессах на основе данных

Рекомендации по улучшению эффективности и сокращению издержек

Коммуникации:

Работа в связке с отделом логистики, операционным отделом и службой качества

Поддержка руководства при принятии решений

Требования:

Опыт работы аналитиком от 1 года (в логистике, e-commerce или ритейле будет плюсом)

Отличное знание Excel / Google Sheets (включая сводные таблицы, формулы, фильтры, визуализации)

Опыт работы с BI-инструментами: Power BI / Looker Studio / Tableau — хотя бы на базовом уровне

Владение SQL — базовые запросы, соединения таблиц, фильтрация

Аналитическое мышление, структурный подход, внимание к деталям

Умение формулировать выводы из чисел и доносить их понятным языком

➕ Будет плюсом:

Опыт работы с курьерскими или складскими программами

Опыт расчёта мотивационных схем, KPI и анализа загрузки сотрудников

Знание основ логистики, понимание понятий «доставка в срок», «маршрутизация», «SLA», «тайм-слот»

Условия:

Официальное трудоустройство

График: 5/2, с 9:00 до 18:00

Комфортный офис в ЖК Сана

Конкурентная заработная плата

Прозрачная система задач и целей

Наставничество, поддержка и возможность развиваться в рамках компании

Компания «Рика» — один из старейших и самых стабильных игроков на рынке курьерской доставки в Казахстане. Мы уже 27 лет развиваем логистику, работаем с корпоративными клиентами и ежедневно доставляем тысячи отправлений.
Сейчас мы усиливаем команду и ищем аналитика, который поможет делать бизнес прозрачным, управляемым и понятным через цифры.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,7 мая 2025,https://hh.kz/vacancy/120311089,Не указано,от 350000 ₸,2025-05-07
Разработчик Систем Безопасности,Alex Staff Agency,Астана,Не указано,"Международная технологическая компания, специализирующаяся на разработке современных решений в области кибербезопасности для Linux-веб-серверов, ищет в команду Security Developer'а!

Флагманский продукт компании защищает более 40 миллионов сайтов по всему миру и пользуется доверием таких гигантов, как Dell, GoDaddy, IBM, Zoom и других. Основанная в 2009 году в Сан-Хосе (Калифорния), сегодня компания объединяет более 250 специалистов из Европы и США.

Вы будете работать над инновационной AI-платформой для кибербезопасности, включающей интеллектуальные фаерволы, системы обнаружения вторжений, защиту от вредоносного ПО и технологии ""живого"" патчинга ядра — всё для обеспечения безопасности и устойчивости Linux-серверов.

Это полностью удалённая позиция с гибким графиком, позволяющая вам планировать свой день самостоятельно и работать из любой точки мира.

Обязанности:

Анализ новых уязвимостей в open-source приложениях и фреймворках на PHP и JavaScript (например, WordPress, Angular, Node.js, Drupal)

Обратный портинг патчей для устранения уязвимостей в более ранних версиях

Проектирование, разработка и внедрение новых функций для внутренних инструментов автоматизации

Исследование новых подходов к эксплуатации уязвимостей и вредоносному ПО, разработка стратегий защиты

Расширение поддержки приложений и плагинов на PHP и JS

Требования:

3+ года релевантного опыта в качестве инженера по тестированию ПО, исследователя в области ИБ или на аналогичной технической роли

Хорошее знание JavaScript и PHP (или хотя бы одного из них)

Опыт работы со скриптовыми языками, такими как Python

Знание Docker и Docker Compose

Уверенные навыки работы с Linux

Английский на уровне B2 и выше

Будет плюсом:

Понимание жизненного цикла уязвимостей и процессов их устранения

Условия:

Конкурентная заработная плата в зависимости от вашего опыта и компетенций (точная сумма обсуждается на финальном этапе)

Компенсация медицинской страховки

Возмещение расходов на коворкинг и занятия спортом

Бюджет на обучение

Оплачиваемые отпуска и больничные

Полностью удалённая работа

Гибкий график

Долгосрочное сотрудничество на полную занятость

Возможность получить вознаграждение за инновационные идеи, которые компания сможет запатентовать",3–6 лет,Полная занятость,График: 5/2,по договорённости,Удалённо,7 мая 2025,https://hh.kz/vacancy/120317183,Не указано,Не указано,2025-05-07
Финансовый менеджер (Middle–Senior),Сеть магазинов GAISSINA,Алматы,Не указано,"О компании:

Мы — быстрорастущий fashion retail бренд.
Растём в x2+ ежегодно, строим системный, прибыльный бизнес и ищем в команду сильного финансового специалиста.

Кто нам нужен:

Финансовый менеджер, который не просто ведёт цифры, а управляет ими.
Тот, кто может выстроить контроль, бюджетирование, отчётность и помочь всей команде принимать сильные, обоснованные решения.
Если вы видите за цифрами реальность, любите точность, структуру и рост — вам к нам.
Задачи:

Контроль движения денежных средств (ДДС) и отчётности по всем магазинам
Формирование бюджета и контроль его исполнения
Развитие управленческой отчетности
Финансовый анализ: выручка, себестоимость, маржинальность, аренда, зарплаты
Контроль кассовой дисциплины и расходов
Работа с закупом, маркетингом, логистикой — помощь в принятии решений
Участие в постановке KPI и мотивационных схем
Построение финансовой модели роста на 6–12 месяцев
Наши ожидания:
Опыт в финансах от 3 лет (опыт в рознице или FMCG — плюс)
Уверенное владение Excel, Power BI или Google Data Studio
Умение видеть не просто отчёт, а вывод: что делать дальше
Системное мышление, внимание к деталям
Готовность к росту вместе с бизнесом
Инициативность: можете сказать “не работает” и предложить, как сделать лучше

Мы предлагаем:

Работу в быстрорастущем fashion-бренде (x2+ рост)
Доступ к ключевым цифрам, участие в стратегии
Возможность выстроить систему “с нуля” и влиять на бизнес
Прямое взаимодействие с собственником
Конкурентную зарплату + квартальные бонусы
Возможность вырасти до CFO

Хочешь влиять — приходи и строй с нами сильный бизнес. Откликайся здесь или пиши напрямую: ‪[Мерей HR.] г. Алматы.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,7 мая 2025,https://hh.kz/vacancy/120320902,Не указано,Не указано,2025-05-07
Customer Success Manager,effie,Алматы,Не указано,"effie is an international software product company. We discover new and unconventional approaches to tackling business challenges by providing global cloud-based SaaS solutions, leveraging the sharing economy and AI capabilities.
In addition to developing innovative software products, we offer a full range of services, including deployment, training, administration, optimization, process automation, technical support, and business analytics consulting.
Our main expertise lies in optimizing business processes for manufacturers, distributors, merchandising agencies, and retail chains in the CPG (including FMCG) and pharmaceutical industries.
140+ team members;
100+ clients across 13 countries, including PepsiCo, Coca-Cola, Nestlé, Shell, Nemiroff, Philip Morris, and others;
27,000+ users of our services;
Microsoft Gold Partner.
What We Value:
Passion - You can only make customers happy if you truly love what you do;
Trust - The foundation of all relationships, inside and outside the company;
An Eye for Excellence - A deep appreciation for quality in every form;
Simplicity - The best things don’t need extra explanation.

We are looking for a Customer Success Manager whose main responsibility will be to handle operational issues related to the use of the effie service by our clients. You will play a key role in ensuring the successful fulfillment of contract obligations, maintaining the health of the contract, and overseeing the implementation of the joint development plan as a project.
If you're ready to actively work with clients, drive results, and take responsibility for building long-term partnerships, we would be happy to have you on our team!



Requirements:
Professional Experience and Skills:
At least 3 years of experience working with corporate B2B clients (sales, service, sales support).
Experience working with large international companies is a plus.
Knowledge of the CPG/FMCG/Retail market and distribution channels.
Experience in IT service/support solutions is an advantage.
Familiarity with project management methodologies is a plus.
Client Relations and Communication Skills:
Ability to conduct both offline and online negotiations with clients, with a good understanding of corporate etiquette.
Ability to build rapport with different people and manage client expectations.
Experience handling service and operational client requests, collecting feedback on service quality, and suggesting improvements.
Client-focused approach.
Personal Qualities and Ability to Learn:
Self-organized and able to work well in a team.
Attention to detail and deadlines, with strong problem-solving skills.
Excellent communication skills.
Quick to learn new products, eager to acquire new knowledge.


Responsibilities:
Client Support and Communication:
Provide dedicated service and operational support to the assigned client base.
Ensure the client’s interests are met throughout the partnership with the company.
Advise and maintain communication with clients on all service-related issues, including service development, usage, and providing informational or analytical support in line with internal policies and procedures.
Coordinate internal effie teams to ensure an appropriate level of service in accordance with internal policies and procedures.
Manage client stakeholders' expectations regarding the timelines for fulfilling their needs.
Contract and Service Management:
Evaluate the health of contracts and take necessary actions to maintain a high level of performance.
Track the expiration of additional agreements and contracts, and ensure the fulfillment of other special contractual terms.
Handle the documentation and renewal of contracts.
Monitor service usage metrics for clients.
Maintain contract status and all client activity within the CRM system.
Keep client reference information up to date.
Calculate current costs based on consumption metrics for invoicing.
Ensure the client’s payment discipline.
Client Satisfaction and Process Improvement:
Create and update the client communication plan.
Evaluate client satisfaction regarding the project launch and ongoing cooperation.
Collect and provide feedback to the launch team and the company about the client's experience with the collaboration.
Communicate the client’s needs to the internal product team for customization of new processes.
Assess the penetration rate of effie processes implemented at the client's site and create conditions for expanding the use of both new and existing services.


We offer:
Remote work arrangement (with occasional visits to client offices or client retail locations);
Offline meetings with clients in Almaty, as well as occasional business trips across Kazakhstan (possible trips to other countries);
Working hours from 9:00 AM to 6:00 PM in Almaty;
Individual onboarding program and mentorship;
Paid vacation of 21 working days and sick leave.",3–6 лет,Полная занятость,График: 5/2,8,Удалённо или разъездной,7 мая 2025,https://hh.kz/vacancy/120334933,Не указано,Не указано,2025-05-07
System аналитик,АО Микрофинансовая организация KMF(КМФ),Алматы,Не указано,"Что делать?

Взаимодействовать c бизнес-заказчиками, аналитиками, прорабатывать бизнес-требования в рамках продукта/платформы/цифрового решения/бизнес-процесса;
Подготавливать технические задания для разработки, проверки, модификации частных решений и продуктов;
Cоздавать дорожную карту бизнес-процессов/цифрового решения/ платформы совместно с командой и заинтересованными сторонами, ее поддержание и расставление приоритетов;
Разрабатывать логическую структуру БД. Разрабатывать предложения по индексированию БД;
Анализировать качество данных (способность выявить ретро-данные, не соответствующие актуальным требованиям);
Заниматься документированием проектных решений в Confluence;
Работать с БД PostgreSQL, MSSQL;
Проектировать и тестировать REST/SOAP API;
Определять любые технические ограничения/проблемы;
Оценивать вместе с техлидами и архитекторами способы реализации в рамках разработки продукта/платформы/цифрового решения;
Осуществлять подготовку и передачу продукта в эксплуатацию.

Если у вас:

Опыт работы в качестве системного аналитика от 2-х лет;
Опыт в проектировании REST API и SOAP сервисов;
Практический опыт и знание PostgreSQL, MSSQL;
Имеете аналогичный опыт.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,6 мая 2025,https://hh.kz/vacancy/119366437,Не указано,Не указано,2025-05-06
Lead Mechanical Engineer,ТОО FSSA,Атырау,Не указано,"Responsibilities and Roles:

Duties:

• Knowledge and experience in international PMC contracts related to the development and execution EPC Contracts.

• Relevant skills include Piping & Mechanical design for Pipeline, Block Valve, Pig Trap, Gas Metering Station and Compressor Station.

• Relevant skills include Mechanical design for Heat Exchangers, Air Coolers, Pumps, Pressure Vessels, Tanks, Boilers, Heaters, Packages (e.g. Fuel as kid, Instrument Air Package, Lube Oil and Mineral Oil Skid) and Utility system (e.g. Flare, Vent Stack, Closed Drain System, Water Wells, Treatment and Supply, Fire Water System).

• Experience in the review of Mechanical engineering documentation.

• Preparation and hands-on experience in Mechanical engineering documentation (specifications, engineering requisition, equipment data sheets, etc.), including training/mentoring of local staff, where applicable.

• Experience in Pipelines, Gas-Turbine Compressors and Power Generation, particularly in respect of Compressor or Power Stations.

• Experience in major Onshore or Offshore Oil & Gas Projects, or for Major Oil Company or EPC Contractor would be a plus.

• Experience in pre-award technical activities, involving qualification of Bidders, would be preferable.

• Contracts Development Experience, supporting the drafting of technical scope of work of ITB’s, particularly for EPC scope and Lump Sum conditions.

• Experience in dealing with Contracts in the CIS (e.g., Republic of Kazakhstan or Russian Federation) is preferred.

• Knowledge of relevant API, ASME, ISO and other International Standards (GOST and SNiP awareness could be an advantage).

Competency requirements:

• Must have sound knowledge and understanding of technical terms and conditions.

• Familiar with all phases of EPC Contracts.

• Awareness of Compliance and ISO Audit Processes.

• Ability to identify changes and improvements to the technical documentation and procedures to reflect Client’s changing requirements.

• Knowledge of computer based systems including, Database Management systems, Microsoft Project, Primavera, Microsoft Office or equivalent software packages.

• Be proactive, a self-starter and ability to work without supervision.

• Systematic thinker and good organizational skills/ time management.

• Strong personality with ability to be firm and persuasive without authority.

• Team player within and across functions.

• Sensitive to Client’s requirements and Client-focused.

Minimum Requirements to employee:

Education: Bachelor degree in engineering is minimum requirement; Master degree preferred.

Language skills: English is mandatory. Russian and Kazakh are advantageous.

Professional experience: Min 10/11 years of experience.

Location & Work schedule: Atyrau 5/2",более 6 лет,Полная занятость,График: 5/2,8,Не указано,8 мая 2025,https://hh.kz/vacancy/120342024,Не указано,Не указано,2025-05-08
Системный аналитик,Публичная Компания «Freedom Finance Global PLC»,Алматы,Не указано,"Задачи:

Сбор и анализ требований бизнес-заказчиков, анализ их влияния на интеграционные системы;
Постановка задач и написание технического задания для команды разработки;
Мониторинг и контроль процесса доработок ИТ-систем;
Проработка технической архитектуры вместе с командой архитекторов;
Документирование процессов, ведение базы знаний в Confluence;
Разработка и актуализация описаний и блок-схем бизнес-процессов.

Мы ожидаем от кандидата:

Стаж работы на аналогичной позиции не менее 2 лет;
Знание одной или нескольких специализированных нотаций (UML, BPMN, EPC, IDEF и т.п.);
Опыт написания SQL-запросов;
Понимание технологий REST, SOAP, XML, XSD;
Понимание принципов построения высоконагруженных систем.

Будет плюсом:

Опыт работы в IT-подразделениях брокерского бизнеса или банковской сферы;
Опыт работы с Postman, Swagger, OpenAPI;
Опыт работы с микросервисной архитектурой;
Навыки программирования на Python, Java или Go.

Мы предлагаем:

Профессиональный коллектив;
Возможность работать над проектами, приносящими пользу для тысяч людей;
Неограниченный рост;
Комфортный офис в центре города;
Скидки на фитнесс, обучение английскому языку, подарки на праздники и дни рождения;
Бонусы и уникальные предложения от компаний холдинга;
Спонсирование профессионального обучения;
Насыщенная корпоративная жизнь с выездами на природу, праздничными мероприятиями в офисе, играми и розыгрышами подарков.",1–3 года,Полная занятость,График: 5/2,8,Не указано,8 мая 2025,https://hh.kz/vacancy/119392716,Не указано,Не указано,2025-05-08
Mechanical Engineer,ТОО FSSA,Атырау,Не указано,"Responsibilities and Roles:

• Review project specifications, administrative and technical practices, design instructions, plot plan, flow diagrams, and supplier information.

• Input into the development of Project Mechanical Engineering CTR’s for review with Principle/Lead Engineer.

• Communicates and interface with other project design and engineering disciplines.

• Submits Project Design Specifications, Data Sheets, Material Requisitions and documents for issue for Mechanical Equipment – Pumps – Compressors Cranes and Mechanical Handling Equipment - Pressure Vessels – Tanks – Fire Fighting/Safety Equipment.

• Follow up with Equipment Suppliers to ensure equipment meets project requirements.

• Check, back check, and correct documents.

• Review and comment on other departments' design drawings/documents and supplier equipment drawings/documents.

• Update project master documents.

• Report Document and Activity progress.

• On assignment to the field, supports construction in drawing and specification interpretations and design modifications. Also assists in carrying out site surveys, measurements, acts of acceptance, and other site engineering activities.

• Assist Senior Engineers and gain needed experience.

Competency requirements:

• Must have sound knowledge and understanding of technical terms and conditions.

• Familiar with all phases of Contracts.

• Awareness of Compliance and ISO Audit Processes.

• Ability to identify changes and improvements to the technical documentation and procedures to reflect Client’s changing requirements.

• Knowledge of computer based systems including, CAD, Database Management systems, Primavera, Microsoft Office or equivalent software packages.

• Be proactive, a self-starter and ability to work without supervision.

• Systematic thinker and good organizational skills/ time management.

• Strong personality with ability to be firm and persuasive without authority.

• Team player within and across functions.

• Sensitive to Client’s requirements and Client focused.

Minimum Requirements to employee:

Education: Bachelor degree in engineering is minimum requirement. Master degree preferred.

Language skills: Russian and English are mandatory. Kazakh is advantageous.

Professional experience: Min 5 years

Location & Work schedule: Atyrau 5/2",более 6 лет,Полная занятость,График: 5/2,8,Не указано,8 мая 2025,https://hh.kz/vacancy/120342086,Не указано,Не указано,2025-05-08
Senior Data Scientist в Департамент кредитных рисков,АО Jusan Bank,Алматы,Не указано,"Обязанности:

Подготовка данных и переменных для моделирования, Feature Selection, Feature Engineering;
Создание ML-моделей, построение скоринговых карт;
Валидация / бэк тестирование / рекалибровка скоринговых моделей;
Проведения тестирования на предмет корректного внедрения моделей;
Мониторинг качества и стабильности действующих моделей;
Внедрение моделей и скоринговых карт в production, включая разработку стратегий внедрения и определение уровня отсечения (cut-off);
Моделирование различных ситуаций для повышения УО / снижение уровня риска (проведение симуляций);
Анализировать сегменты розничного кредитования, находить в них концентрации риска и возможности повышения уровня одобрения, а также выносить предложения по повышению качества портфеля.

Требования:

Высшее (экономическое, математическое, техническое, финансовое);
Знание методов статистического анализа;
Понимание специфики работы с большими данными. Умение генерировать, рассчитывать и проверять гипотезы;
Опыт в построении скоринговых моделей;
Понимание и применение метрик качества моделей для проверки точности и устойчивости скоринговых карт;
Понимание процессов создания выборок, переменных для моделирования, определения целевой переменной;
Английский на уровне свободного чтения технической документации;
Продвинутый опыт в написании SQL запросов (запросы, аналитические функции);
Знание Python, уверенное владение библиотеками pandas, scikit-learn, XGBoost, LightGBM.

Условия:

Ежеквартальные премии;
Работа в офисе (оффлайн);
Корпоративные предложения по фитнесу;
Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких;
Бесплатная подписка на онлайн библитеку «Альпина Паблишер»;
Приятная рабочая атмосфера в современном офисе в деловой части города;
Возможность строить карьеру в одном из крупнейших банков Казахстана.",3–6 лет,Полная занятость,График: 5/2,8,Не указано,8 мая 2025,https://hh.kz/vacancy/120340769,Не указано,Не указано,2025-05-08
Финансовый контролер / Finance Controller,Сеть магазинов GAISSINA,Алматы,Не указано,"Мы — быстрорастущий fashion retail бренд.
Растём в x2+ ежегодно, строим системный, прибыльный бизнес и ищем в команду сильного финансового специалиста.

Кто нам нужен:

Финансовый менеджер, который не просто ведёт цифры, а управляет ими.
Тот, кто может выстроить контроль, бюджетирование, отчётность и помочь всей команде принимать сильные, обоснованные решения.
Если вы видите за цифрами реальность, любите точность, структуру и рост — вам к нам.
Задачи:

Контроль движения денежных средств (ДДС) и отчётности по всем магазинам
Формирование бюджета и контроль его исполнения
Развитие управленческой отчетности
Финансовый анализ: выручка, себестоимость, маржинальность, аренда, зарплаты
Контроль кассовой дисциплины и расходов
Работа с закупом, маркетингом, логистикой — помощь в принятии решений
Участие в постановке KPI и мотивационных схем
Построение финансовой модели роста на 6–12 месяцев

Наши ожидания:

Опыт в финансах от 3 лет (опыт в рознице или FMCG — плюс)
Уверенное владение Excel, Power BI или Google Data Studio
Умение видеть не просто отчёт, а вывод: что делать дальше
Системное мышление, внимание к деталям
Готовность к росту вместе с бизнесом
Инициативность: можете сказать “не работает” и предложить, как сделать лучше

Мы предлагаем:

Работу в быстрорастущем fashion-бренде (x2+ рост)
Доступ к ключевым цифрам, участие в стратегии
Возможность выстроить систему “с нуля” и влиять на бизнес
Прямое взаимодействие с собственником
Конкурентную зарплату + квартальные бонусы
Возможность вырасти до CFO

Хочешь влиять — приходи и строй с нами сильный бизнес. Откликайся здесь или пиши напрямую г. Алматы.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,7 мая 2025,https://hh.kz/vacancy/120323835,Не указано,Не указано,2025-05-07
