title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Главный бухгалтер в дистрибьюторскую компанию,ТОО Auto Logistics Product,Туркестане,"400 000 ₸ за месяц, на руки","Обязанности:
Контроль ведения бухгалтерского учета компании;
Анализ и контроль кредиторской/дебиторской задолженности;
Сдача налоговой, финансовой и статистической отчетности;
Контроль учета импорта/экспорта ТМЦ и услуг;
Оптимизация налогообложения согласно законодательству;
Участие в финансовом анализе и формировании налоговой политики;
Автоматизация процессов бухгалтерского учета;
ежемесячные отчеты (в том числе и стат.);
прочие поручения бухгалтера

Требования:

Опыт работы главным бухгалтером от 6 лет;
Знание Налогового кодекса, МСФО, НСФО, трудового законодательства;
Опыт автоматизации бухгалтерских процессов;
Аналитические способности;
Опыт внешнего аудита и налоговых проверок.

Условия:

Официальное трудоустройство;
Работа в стабильной компании;
график работы 5/2, с 09:00 до 18:00;
Главный бухгалтер в дистрибьюторскую компанию, специализирующуюся на безалкогольных напитках",более 6 лет,Полная занятость,График: 5/2,8,На месте работодателя,11 мая 2025,https://hh.kz/vacancy/118854357,Не указано,400000 ₸,2025-05-11
Финансист,ИП Sema,Астана,"от 250 000 до 300 000 ₸ за месяц, на руки","Мы — ресторан DosStar , ищем в команду опытного финансиста, который поможет навести порядок в финансах, внедрить отчётность по МСФО и выстроить прозрачную систему учета и контроля. Если вы разбираетесь в бухгалтерии, калькуляции и финансовом контроле — будем рады познакомиться!

Обязанности:

•Внедрение финансовой отчётности по стандартам МСФО

•Ведение бухгалтерии ресторана

•Построение и контроль финансовых потоков (доходы, расходы, баланс)

•Подсчёт себестоимости и калькуляция блюд

•Подготовка финансовой отчетности и управленческого учета

•Анализ рентабельности и оптимизация затрат

•Финансовое планирование, бюджетирование, контроль исполнения бюджета

Требования:

•Высшее образование (финансы, экономика, бухгалтерский учет)

•Опыт работы финансистом/главным бухгалтером от 3 лет

•Отличное знание МСФО и опыт внедрения международной отчетности

•Уверенное владение Excel и финансовыми программами (1С и др.)

•Умение работать самостоятельно, системно и с высокой ответственностью

Условия:

•Работа в стабильной и растущей ресторанной компании

•График 5/2, гибкое начало рабочего дня

•Испытательный срок — 3 месяца

•После успешного прохождения испытательного срока — бонус от 1% чистой прибыли компании

•Возможность реализовывать свои инициативы и выстраивать процессы с нуля

•Дружная команда, поддержка руководства

Мы ценим системность, инициативу и желание делать лучше. Присоединяйтесь!",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя или удалённо,11 мая 2025,https://hh.kz/vacancy/120358600,Не указано,250000-300000 ₸,2025-05-11
Помощник бухгалтера,ТОО Lider Security,Алматы,"от 250 000 до 300 000 ₸ за месяц, на руки","Обязанности:
Ведение первичных и бухгалтерских документов, расчетов и платежных обязательств, расходования фонда заработной платы, товарно-материальных ценностей и денежных средств.
Учет ТМЦ (материалы, готовая продукция) – склад, перемещения, реализация
Создание и обработка первичных документов (накладные, счета, акты сверок).
Контроль дебиторской и кредиторской задолженности, платежей, банковских операций.
Подготовка актов инвентаризаций, сверка остатков, списание сырья и материалов.
Расчет и начисление заработной платы, пенсионных и социальных отчислений.
контроль ведения бухгалтерии по аутсорсингу , работа с бухгалтерами
Ежемесячная подготовка финансовых отчетов руководителю
личные поручения руководителя

Требования:

Знание компьютера
Работа в CRM (обучение)
опыт работы в 1С
опыт работы в бухгалтерии
Условия:
5-ти дневная рабочая неделя с 8.30 до 17.30
Официальное трудоустройство согласно ТК РК
Офис находиться р-он м-он Айнубулак",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,11 мая 2025,https://hh.kz/vacancy/119368035,Не указано,250000-300000 ₸,2025-05-11
QA Engineer Senior/ Middle+ (тестировщик),ТОО Jana Post,Алматы,Не указано,"О компании:
Jana Post – динамично развивающаяся компания, предоставляющая современные решения в области логистики и электронной коммерции. Мы ценим инновации, качество и развитие наших сотрудников.

Обязанности:

Внедрить автотесты в действующий продукт.

Анализ продукта для интеграции автотеста.

Менторство junior QA.

Разработка, поддержка и выполнение тест-кейсов, тест-планов и тестовой документации.

Автоматизация тестирования (UI, API, интеграционные тесты).

Анализ требований и тестирование новых фич продукта.

Поиск, документирование и отслеживание дефектов.

Оптимизация процессов тестирования и внедрение best practices.

Взаимодействие с разработчиками, аналитиками и другими командами для обеспечения качества продукта.

Участие в code review автотестов и улучшение их архитектуры.

Работа с CI/CD пайплайнами для интеграции тестирования в процессы разработки.

Требования:

Опыт работы в тестировании от 2 лет на позиции Мiddle +, Тестирование API через Swagger

Глубокие знания методологий тестирования, видов тестирования, техник тест-дизайна.

Опыт автоматизированного тестирования на одном из языков (Python, Java, JavaScript).

Владение инструментами автоматизации тестирования (Selenium, Playwright, Cypress, JUnit, TestNG и др.).

Опыт тестирования API (Postman, REST Assured, SoapUI).

Навыки работы с базами данных (SQL, NoSQL).

Опыт работы с CI/CD (Jenkins, GitLab CI/CD, GitHub Actions).

Знание инструментов баг-трекинга (JIRA, Trello) и тест-менеджмента (TestRail, Zephyr).

Опыт работы в Agile/Scrum-командах.

Хорошие аналитические способности и внимание к деталям.

Знание казахского и русского языка обязательно!

Будет плюсом:

Опыт работы с облачными сервисами (AWS, GCP, Azure).

Опыт тестирования нагрузочного и производительного тестирования (JMeter, Gatling, k6).

Опыт работы с Docker и Kubernetes.

Условия:
Современный офис в Алматы и комфортные условия для работы.
Вовлечённая и развивающаяся команда, готовая учиться и расти.
График работы 5/2;
Бесплатный кофе, чай;
Интересная корпоративная культура и дружный коллектив;
Корпоративные мероприятия за счет компании;
Обучение в рамках корпоративной стратегии развития компании
Карьерный рост в динамичной Компании.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,11 мая 2025,https://hh.kz/vacancy/119618075,Не указано,Не указано,2025-05-11
Руководитель интернет-магазина,ТОО Зафко Казахстан,Алматы,Не указано,"О компании:
Мы – динамично развивающаяся компания, работающая на различных маркетплейсах. В связи с расширением бизнеса ищем опытного руководителя для управления нашим интернет магазином .

Обязанности:

Полное ведение интернет площадок (управление ассортиментом, ценообразование, аналитика продаж).
Формирование и контроль ценовой политики, анализ конкурентных цен.
Настройка и контроль условий акций, участие в маркетинговых кампаниях.
Обеспечение своевременного обновления товарных карточек и наличия актуальных данных.
Мониторинг рейтинга и отзывов, работа с клиентами.
Взаимодействие с технической поддержкой интернет площадок для решения возможных вопросов.
Требования:
Обязательный опыт работы с маркетплейсом от 2х лет.
Глубокое понимание механизмов ценообразования и промо-акций.
Опыт работы с аналитикой продаж и конкурентного окружения.
Уверенное владение Excel, знание 1С будет преимуществом.
Навыки работы с контентом: заполнение карточек товаров, SEO-оптимизация.
Ответственность, внимательность к деталям, аналитический склад ума.

Условия:
Официальное трудоустройство.
График работы 5/2.
ДМС после испытательного срока.
Достойный уровень заработной платы + бонусы по KPI.
Возможности для профессионального роста и развития.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,11 мая 2025,https://hh.kz/vacancy/119846934,Не указано,Не указано,2025-05-11
Проектный менеджер по продажам В2В,ТОО VEG Trade flooring and ceiling,Алматы,Не указано,"VEG Trade — ведущий поставщик высококачественных напольных покрытий и подвесных потолков от мировых брендов, таких как Forbo, Gerflor, DLW Flooring, Knauf Ceiling Solutions, Armstrong World Industries, Döllken Profiles, Interface, MERO TSK, Албес, Küberit, Nora, Enlio, Tarkett, Brintons, Barlinek.

Мы предлагаем инновационные решения, создавая современные и функциональные пространства по всему Казахстану — от офисов, коммерческих и торговых центров до школ, спортзалов и медучреждений. За каждым успешно реализованным проектом стоит команда профессионалов, которая делает VEG Trade успешнее с каждым днём.

Кого мы ищем:
Проактивного Проектного менеджера по продажам, который усилит нашу команду и поможет нам расширять присутствие на рынке, развивая долгосрочные отношения с архитекторами, дизайнерами и генподрядчиками.

Мы с радостью рассмотрим кандидатов с опытом работы в ведущих FMCG-компаниях (""жвачники"", ""сигаретчики"", ""шоколадчики"" и другие). Эти специалисты обладают сильной школой продаж, отличными навыками ведения переговоров и не боятся конкуренции. Опыт в строительной сфере не обязателен — для нас важнее умение продавать и достигать результата. Остальному обучим!

Чем предстоит заниматься:

Активный поиск и привлечение новых клиентов.
Проведение переговоров и презентаций для корпоративных клиентов, архитекторов, дизайнеров и генподрядчиков.
Продвижение продукции VEG Trade в сегменте проектных продаж.
Включение материалов компании в проектные решения через взаимодействие с архитекторами, дизайнерами и генподрядчиками.
Заключение договоров и контроль их исполнения.
Согласование технических и коммерческих условий.
Полное сопровождение проектов от идеи до реализации.
Работа в CRM-системе: учёт взаимодействий и обновление данных по проектам.
Поддержка и развитие долгосрочных отношений с клиентами.
Подготовка отчётности о статусе проектов и достигнутых результатах.

Требования:

Опыт работы в продажах от 3 лет.
Навыки ведения переговоров и презентаций.
Умение выстраивать и поддерживать долгосрочные партнёрские отношения.
Аналитическое мышление и ориентация на результат.
Грамотная речь и презентабельный внешний вид.
Владение CRM-системами (желательно Bitrix24).
Готовность к командировкам. Будет плюсом:
Опыт работы в FMCG-компаниях с сильной школой продаж (жевательная резинка, шоколад, табачные компании и др.).
Навыки ведения сложных переговоров и опыт работы с крупными проектами.

Что мы предлагаем:

Карьерный рост и возможность профессионального развития.
Современный и комфортный офис.
Официальное трудоустройство согласно ТК РК.
Конкурентноспособная заработная плата+ бонусы (нет потолка по заработной плате).
График работы 5/2 с 9:00 до 18:00.
Дружный коллектив, готовый помочь вам быстро влиться в работу.
Интересные и разнообразные задачи по автоматизации и улучшению процессов.

Почему VEG Trade?

Работа с ведущими мировыми брендами.
Участие в интересных проектах и возможность влиять на их результат.
Пространство для роста и реализации своих идей.

Присоединяйтесь к нашей команде и помогайте нам воплощать передовые проекты Казахстана!",1–3 года,Полная занятость,График: 5/2,8,Гибрид,11 мая 2025,https://hh.kz/vacancy/120341476,Не указано,Не указано,2025-05-11
UX/UI-дизайнер,"КазГЮУ, АО",Астана,Не указано,"Мы ищем талантливого и креативного UI/UX дизайнера для разработки пользовательских интерфейсов и улучшения опыта пользователей на наших веб-сайтах и мобильных приложениях. Вы будете работать над созданием привлекательных и понятных интерфейсов, соответствующих последним тенденциям и стандартам дизайна, работа оффлайн в офисе.

Обязанности:

Разработка и создание пользовательских интерфейсов для веб-сайтов и мобильных приложений.
Проведение исследований пользователей и анализ пользовательского опыта.
Создание прототипов, макетов и wireframes для новых функций и продуктов.
Взаимодействие с командами разработчиков и маркетологов для обеспечения высокого качества дизайна.
Тестирование и улучшение интерфейсов на основе обратной связи пользователей и данных аналитики.
Следование современным трендам и лучшим практикам в области UI/UX дизайна.
Обеспечение единообразия и соответствия визуального стиля бренду компании.

✅Требования:

Опыт работы дизайнером UI/UX не менее 2 лет.

Умение верстать дизайн на Zero Code Tilda
Умение доводить каждый путь пользователя от А до Я
Портфолио с примерами работ в области веб и мобильного дизайна.
Отличное знание инструментов дизайна (Figma, Sketch, Adobe XD и др.).
Понимание принципов адаптивного и отзывчивого дизайна.
Опыт в проведении исследований пользователей и тестирования интерфейсов.
Умение работать с инструментами прототипирования и создания wireframes.
Креативное мышление и внимание к деталям.
Способность работать в команде и следовать инструкциям.
Хорошие коммуникативные навыки.

Мы предлагаем:

Полную занятость

Конкурентоспособную заработную плату

Возможность работать в комфортабельном офисе

Поддерживающий и профессиональный коллектив

Пространство для роста и развития

Участие в интересных и значимых проектах

Хочешь создавать дизайн, который действительно работает? Отправляй отклик с сопроводительным письмом и портфолио.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,10 мая 2025,https://hh.kz/vacancy/119741170,Не указано,Не указано,2025-05-10
Fullstack developer (Nestjs + vue/vite),ИП Богатыренко Юрий Олегович,Усть-каменогорске,Не указано,"Fullstack-разработчик (NestJS + Vue 3)

Ainity.io – SaaS-платформа для автоматизации общения с клиентами

Формат работы: Удалённо, полный день (8 часов, Пн–Пт)
Занятость: Полная
Оплата: По результатам собеседования

О проекте:

Ainity.io — технологичная AI-платформа, которая помогает бизнесам автоматизировать общение с клиентами через WhatsApp, Telegram, Instagram, а также интегрируется с CRM-системами (например, Bitrix24). Сервис включает в себя визуальный редактор автоматизаций (аналог ManyChat), биллинг, поддержку нескольких пользователей и ролей, а также модульную архитектуру на микросервисах.

Обязанности:

Разработка и поддержка функционала на NestJS и Vue 3

Верстка интерфейсов по компонентной системе (Vuetify)

Интеграция со сторонними API:
Bitrix24, Google Calendar, WhatsApp (Gupshup/Green API), Telegram Bot, OpenAI

Работа с очередями задач (RabbitMQ), кэшами (Redis), токенизацией GPT-запросов

Участие в проектировании архитектуры модулей

✅ Требования:

Уверенный опыт работы с NestJS, PostgreSQL

Уверенные знания Vue 3, Vite, Pinia, Vuetify

Опыт интеграции с внешними сервисами (REST, Webhook, OAuth)

Опыт в адаптивной вёрстке и UI-интерфейсах

Умение самостоятельно разбираться в логике сложных систем

Будет плюсом:

Опыт с AI/ChatGPT-интеграциями

Понимание CRM-процессов и автоворонок

Знания DevOps (Docker, nginx, CI/CD)",1–3 года,Полная занятость,График: 5/2,8,Удалённо,11 мая 2025,https://hh.kz/vacancy/120358622,Не указано,Не указано,2025-05-11
Менеджер по маркетингу и развитию продаж,ТОО Pulsar Systems,Астана,Не указано,"В нашу команду мы ищем опытного специалиста в области маркетинга и продаж. Если вы желаете работать и развиваться в стабильной компании, получать достойную зарплату, приобретать знания и улучшаться в профессиональных навыках, мы приглашаем вас в свою команду!

Обязанности:

Анализ рынка конкурентов, цен на продукцию, производственных возможностей;
Поиск и привлечение потенциальных клиентов;
Разработка и реализация маркетинговых стратегий для продвижения продукции;
Участие в формировании коммерческих предложений, акций и рекламных мероприятий;
Мониторинг и сбор информации о текущих тенденциях отрасли;
Подготовка аналитических отчетов по рынку, конкурентам и эффективности рекламных кампаний;
Составление баз данных клиентов;
Активное участие в продажах: обработка запросов, первичные переговоры, развитие клиентской базы;
Сопровождение сделок на первоначальных этапах.

Требования:

Высшее образование (маркетинг, экономика, менеджмент или смежные области);
Опыт работы в маркетинге, продажах или аналитике от 2 лет;
Знание инструментов конкурентного анализа и маркетинговых исследований;
Навыки подготовки маркетинговых материалов (презентации, тексты, предложения);
Опыт работы с CRM-системами приветствуется;
Отличные навыки коммуникации и ведения переговоров;
Умение работать с большим объемом информации, системность;
Инициативность, ориентация на результат;
Готовность работать в пригороде Астаны.

Условия:

Официальное оформление согласно ТК РК;
Конкурентоспособная заработная плата;
Корпоративная мобильная связь;
Возможности карьерного роста внутри компании;
Дружный, молодой и профессиональный коллектив;
Обучение, поддержка развития;
Участие в интересных проектах и бизнес-мероприятиях;
Корпоративы и тимбилдинги.

Мы не рассматриваем удаленный формат работы, только оффлайн.",1–3 года,Полная занятость,График: 5/2,8,Не указано,11 мая 2025,https://hh.kz/vacancy/119780151,Не указано,Не указано,2025-05-11
Экономист-бухгалтер,ТОО ЭГИДА АЛМАТЫ,Алматы,Не указано,"В развивающуюся компанию ""Эгида Алматы"" требуется ЭКОНОМИСТ

Чем предстоит заниматься:

отражение движений денежных средств

отражение движений по ТМЦ

расчет и установка плановой себестоимости выпускаемой продукции

участие в инвентаризации, отражение данных по инвентаризации в программном продукте

контроль за правильностью ведения справочников

координация производственных процессов с отражением в программном продукте

контроль дебиторской и кредиторской задолженности

контроль отрицательных остатков на складах и в программном продукте

проведение инвентаризации и отражение результатов в программе 1С

проведение процедуры закрытия месяца в программе 1С

Требования:

высшее экономическое или бухгалтерское образование

опыт работы в производственной сфере от 3-х лет

знание налогового и бухгалтерского законодательства будет преимуществом

знание программы 1С: Предприятие 8.1, УПП

MS Office

Мы предлагаем:

график работы 5/2 с 9.00 - 18.00

официальное трудоустройство согласно ТК Казахстан

своевременную конкурентную заработную плату

Присоединяйтесь к команде профессионалов!",3–6 лет,Полная занятость,График: 5/2,8,Не указано,11 мая 2025,https://hh.kz/vacancy/119463554,Не указано,Не указано,2025-05-11
