title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,link,published_date,skills
Middle ML Engineer (NLP),ТОО DOCUMENTOLOG CREATIVE STUDIO,"Астана, проспект Мангилик Ел, 52А",Не указано,"Наша компания ищет специалиста в области NLP для работы на долгосрочной основе.

Обязанности:
- Создание сервисов на базе генеративных AI и классических ML/DL моделей;
- Сбор, обработка и загрузка данных из различных источников (SQL, NoSQL), работа с Дата пайплайнами;
- Разработка и поддержка API микросервисов, в т.ч. для деплоя моделей;
- Следовать современным трендам в области AI/DS;
- Сотрудничать с продуктовыми командами для успешного, своевременного внедрения и обслуживания сервисов;
- Проводить исследования и эксперименты с различными наборами данных;
- Управлять сложными рабочими процессами с данными и развивать экспертизу в предметной области.

Требования:
- Опыт работы не менее 2-х лет, из них:
в сфере Data Science / ML Engineering / Data Engineering не менее 2-х лет;
в сфере Deep Leanring и AI не менее 1 года;
- Практический опыт работы в NLP: обучение, оценка и использование моделей;
- Опыт работы с LLM: prompt engineering, evaluation, fine-tuning и т.д.;
- Опыт построения ETL процессов и интеграции данных из различных источников (БД, API, файловые системы);
- Опыт подготовки, аннотирования и предобработки данных для NLP задач;
- Понимание принципов работы классических ML/DL алгоритмов и моделей;
- Знание Python: умение писать чистый, тестируемый код;
- Знание SQL, Git, Docker, CI/CD.
- Плюс: опыт работы в построении Дата пайплайнов с помощью оркестраторов (Airflow, Dagster и т.д.) и/или распределённых систем (Spark, Hadoop и т.д.)

Условия:

- Оформление по ТК РК;
- Режим работы 5/2, с 09:00 до 18:30, обед с 13:00 до 14:30;
- Дружный коллектив и удобный офис.

Система мотивации:
- Беспроцентные займы: Финансовая поддержка сотрудников, проработавших в компании более 1 года;
- Фантомные акции компании: Сотрудники с опытом работы более 1 года получают возможность получать процент от чистой прибыли компании. Количество фантомных акций увеличивается с каждым годом работы в знак признательности за преданность и лояльность сотрудника.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,https://almaty.hh.kz/vacancy/119492842?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"Data Science,Machine Learning,Английский — B1 — Средний,Python,SQL,NLP"
Machine Learning Engineer (ML инженер),ТОО MacDent,"Астана, проспект Мангилик Ел, С3.5",Не указано,"Machine Learning Engineer (ML инженер) - специалист, который разрабатывает, дообучает, оптимизирует модели машинного обучения в продакшн.

Общие задачи ML инженера:
1.⁠ ⁠Подбор и дообучение моделей
1.1 Использование готовых моделей
1.2 Дообучение (fine-tuning) на специфичных данных
2.⁠ ⁠Оптимизация и развертывание моделей
2.1 Сжатие моделей
2.2 Оптимизация скорости работы
2.3 Разворачивает модели в API
3.⁠ ⁠Разработка пайплайнов машинного обучения
3.1 Автоматизация обучения
3.2 Настройка сбора и обработки данных
4.⁠ ⁠Интеграция моделей в продакшн
4.1 Настройка обработки запросов от пользователей
4.2 Оптимизация нагрузки (балансировка, кеширование)
4.3 Мониторинг работы моделей (A/B тесты, логирование)

Требуется знание:
1.⁠ ⁠Язык программирование Python
2.⁠ ⁠Фреймворки - PyTorch, TensorFlow, Hugging Face, DeepSpeed
3.⁠ ⁠Обучение - MLflow и иные инструменты
4.⁠ ⁠Понимание облачных сервисов ☁️
5.⁠ ⁠Понимание работы с GPU: NVIDIA CUDA, Tensor Cores, TPUs ⌨️

Требование под нашу задачу:
1.⁠ ⁠Опыт работы с моделями преобразования звука в текст (STT models) ️
2.⁠ ⁠Опыт с моделями GPT - DeepSeek, написание промтов, дообучение
3.⁠ ⁠Написание API и разворачивание в продакшн
4.⁠ ⁠Понимание работы обработки Real-Time обработки звука (WebSocket \ WebRTC)
5.⁠ ⁠Умение оптимизировать и балансировать нагрузку ‍♀️
6.⁠ ⁠Умение дообучать готовые модели (Fine-Tuning)

MacDent - CRM система для стоматологий и клиник, успешно помогает компаниям автоматизировать и систематизировать бизнес-процессы. На текущий момент 1000+ клиник активно пользуются нашей CRM-системой по всему Казахстану.

Мы активно развиваемся и хотим найти в команду профессионала в маркетинге, который любит маркетинг и IT, обожает сам зарабатывать и помогать в этом деле своим клиентам и команде.

Условия:

Оклад определим после собеседование
Зарплата поступает до 5 числа каждого месяца
Возможность получить опционы компании с перспективой продажи в будущем
Оплачиваются курсы
Предоставляются доступ к обучающим материалам
Личное обучение от команды и генерального директора по смежным темам
Здоровая атмосфера в команде
Уважение личных границ и адекватное отношение
Отсутствие переработок
Бесплатный теннис
Массаж для позвоночника
Библиотека с художественной и профессиональной литературой
Соседство с крупными IT-компаниями, такими как Astana Hub, TikTok, Yandex Cloud, reKassa и другие
Работа в офисе 5/2, с 09:30 до 18:30

Если вы любите IT, то обретите свой икигаи работая в компании MacDent, и в окружении лидеров IT-индустрии и здоровой команды стремящейся к развитию!


Внимание! В сопроводительном письме укажите ваши кейсы и результаты работ.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118840894?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,27 марта 2025,Не указано
Data Engineer (Golang),ТОО Wisebits,Лимассол,Не указано,"Wisebits — международный IT-холдинг с сильной технической командой!
Наш ключевой продукт — высоконагруженный видеохостинг, которым ежедневно пользуются миллионы людей по всему миру. Более чем за 15 лет на рынке мы сформировали профессиональную команду, где ценятся вовлечённость и инициативность.
Если хочешь работать с high-load продуктом и иметь возможность влиять на его развитие — присоединяйся к нам!

В нашу Data Science команду нужен Go-разработчик с интересом к Machine Learning. Новому члену команды предстоит работать над высоконагруженными сервисами.

Основные задачи:

ETL, разработка сервисов сбора, хранения и доступа к статистике и данным;
Оптимизация/создание pipeline для запуска ML решений в production;
Выполнять эпизодические задачи на анализ данных;
Обработка и агрегация данных для отчетов.

Стек: Golang, Kubernetes, ClickHouse, MySQL, MongoDB, Kafka, Redis.

Требования:

Опыт разработки на Go от 3 лет: Глубокое понимание языка и опыт написания эффективного кода с акцентом на обработку данных.
Знание баз данных: Опыт работы с ClickHouse, MySQL и MongoDB.
Контейнеризация и оркестрация: Понимание принципов работы с Kubernetes.
Протоколы и API: Опыт разработки HTTP/gRPC API.
Системы обмена сообщениями и кэширования: Опыт работы с Kafka и Redis.
Алгоритмы и структуры данных: Хорошее понимание и умение применять на практике.
Коммуникационные навыки: Способность эффективно взаимодействовать с командами Data Science и другими отделами.

Дополнительные плюсы:

Опыт создания дашбордов в Grafana.
Знание принципов работы высоконагруженных систем.
Интерес к машинному обучению и опыт поддержки A/B-экспериментов.

Эта позиция для вас, если:

Вы любите данные и еще больше любите технологии их обработки;
Вам нравится принимать решения и непосредственно участвовать в развитии продуктов;
Стремитесь к приобретению знаний в управлении и работе с данными, машинном обучении.

Что мы предлагаем:

Отсутствие бюрократии — гибкие условия работы;
Расширенный пакет бенефитов: медицинская страховка, покрытие налогов, курсы иностранных языков, профессиональное обучение, а также необходимая для работы техника;
Ежегодный пересмотр заработной платы и профессиональный рост;
Поддержку при релокации: мы берем на себя расходы по переезду для тебя и твоей семьи, включая покупку билетов, визовую поддержку и оплату первого месяца жилья.
Дружную и интернациональную команду, которая ценит профессионализм и сотрудничество.",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/117536107?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,22 марта 2025,"Golang,Clickhouse,Kubernetes,MySQL,MongoDB,Apache Kafka,Redis"
"Data Scientist (Middle, Senior)","HALYK FINANCE, дочерняя организация АО Народный банк","Алматы, Алатау, проспект Абая, 109В",Не указано,"Просим не откликаться на вакансию граждан других стран, удаленной работы нет!

Обязанности:

Анализ данных и их интерпретация: сбор, обработка и систематизация данных из различных источников;
проведение статистического анализа для выявления закономерностей, тенденций в данных;
исследования, тестирование гипотез, реализация и развитие Big DATA, перевод на модель по принятию решений на основе данных;
построение прогнозных моделей для оценки экономической динамики и принятия управленческих решений;
создание эконометрических и статистических моделей для анализа данных, применение методов машинного обучения и других алгоритмов анализа больших данных (Big Data) для решения экономических задач;
моделирование сценариев развития экономики, включая оценку влияния макроэкономических и микроэкономических факторов;
разработка визуализаций данных (графиков, диаграмм, интерактивных дашбордов)для представления результатов аналитики;
подготовка аналитических отчетов, презентаций с рекомендациями для заинтересованных сторон (руководство, государственные органы, инвесторы);
управление получением, хранением, передачей, обработкой больших данных
Требования:
высшее экономическое/финансовое/математическое/техническое образование;
опыт работы в сфере информационных технологий/банковской/финансовой сфере не менее 2,5 лет (Middle), более 4 лет (Senior)
обладать фундаментальными знаниями в области математики, статистики, Computer Science, знать принципы моделирования данных;
иметь навыки разработки методологических, методических и аналитических материалов
умение построения бизнес-моделей;
иметь навыки работы с хранилищами данных DWH, Hadoop;
владение английским на уровне не ниже Intermediate
знание программ: Python (pandas/polars), SQL на продвинутом уровне
Личные качества : аналитический склад ума, критическое мышление, внимательность, организованность, ответственность, инициативность, грамотная письменная речь, умение работать в команде
Условия:
офисная работа: график 5/2, с 09-18ч
отпуск: 26 дней
дополнительное мед.страхование
повышение квалификации за счет Работодателя
годовая премия
бонусы по итогам года",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,https://almaty.hh.kz/vacancy/118882857?query=Senior+Data+Scientist&hhtmFrom=vacancy_search_list,18 апреля 2025,"SQL,Python,MySQL,Qlik Sense,Математический анализ,Английский язык,Алгоритмы и структуры данных,Исследовательский анализ данных,Визуализация данных,Hadoop,DWH,Моделирование бизнес процессов,data science,Data Mining: Statistica,Big Data,Data Analysis,Математическая статистика,MS SQL Server,pandas,Дата аналитика,Английский — B2 — Средне-продвинутый"
Data Scientist Middle+/Senior,Новео,Не указано,Не указано,"НОВЕО - международная компания, с 2002 года предоставляющая услуги по заказной разработке ПО для западноевропейского рынка.

Где и как можно работать: удаленно из любой страны по договору ИП/самозанятости (с оплатой в евро).

Рабочие языки на проектах: английский, русский.

Наш партнер - инновационная компания на рынке доставки и логистики. Клиент представлен в 150+ городах в 5 странах ЕС и Великобритании.

Твоя задача заключается в разработке и оптимизации алгоритмических решений, которые улучшают работу сети доставки. Роль сосредоточена на решении классических задач машинного обучения (ML), а также задач операционных исследований для улучшения диспетчеризации, стратегий стимулирования и общей эффективности логистики.

Что мы готовы предложить?

трудоустройство по трудовому договору страны или через договор с ИП без привязки к определенному местонахождению;

оплачиваемый отпуск и больничные;

работа в профессиональной распределенной команде над интересными проектами;

возможность изучения новых технологий и их применение на практике, внутреннее обучение;

участие во внутренних митапах, постоянный обмен опытом с коллегами;

четко выстроенные процессы и методологии разработки;

бесплатное изучение иностранных языков в рабочее время с преподавателями компании (английский, французский);

компенсацию медицинских услуг, массажа или спорта (внутренний аналог ДМС).

Стек:

Python or Scala;
Advanced ML models, Optimization algorithms;

SQL, Airflow, Kafka, Spark Streaming, Flink, Hadoop;

Docker, Distributed Computing.


Твои предстоящие задачи:

оптимизация сетей доставки в режиме реального времени;
баланс между скоростью, эффективностью и стоимостью в моделях диспетчеризации и стимулирования;
обеспечение эффективной работы моделей ML и оптимизации в масштабе;
работа с архитектурой, управляемой событиями, в больших объемах.

Мы ждём от тебя:

уверенное владение разговорным английским языком (от В2 и выше);

4+ года опыта работы в области Data Science;

опыт работы с SQL;

владение Python;

сильные навыки ML и оптимизации;

знание статистических выводов;

Желательно иметь опыт с: управлением рабочими процессами (Airflow); с распределенными вычислениями; архитектурой, управляемыми событиями; Docker; Apache Spark; имеются знания в области логистики.


О компании Новео:

20 лет на рынке;
производственные отделы в странах Восточной Европы;

Присоединяйся к команде разработчиков НОВЕО для решения интересных задач!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/118868440?query=Senior+Data+Scientist&hhtmFrom=vacancy_search_list,27 марта 2025,Не указано
ML Engineer,"GuardinAI, Inc",Не указано,Не указано,"We are seeking a highly motivated and skilled Machine Learning Engineer to join our team

focused on training and deploying machine learning models and fine-tuning large language

models (LLMs). This role will be central to developing efficient, scalable, and domain-specific

ML/LLM solutions that power our AI products.

Responsibilities:

• Design, implement, and optimize training pipelines for small-scale machine learning models

(e.g., decision trees, gradient boosting, small neural nets, CNN).

• Fine-tune large pre-trained language models (e.g., LLaMA, Mistral, Qwen, GPT) for specific

tasks using supervised learning, reinforcement learning (RLHF), or parameter-efficient

techniques (LoRA, QLoRA, PEFT).

• Conduct dataset preparation, preprocessing, and augmentation for both small and large

models.

• Perform hyperparameter tuning and model evaluation using appropriate metrics.

• Monitor and optimize model performance, inference speed, and memory footprint.

• Contribute to internal tools and libraries that streamline ML experimentation and deployment.

Requirements:

• Strong programming skills in Python and experience with ML frameworks like PyTorch,

HuggingFace Transformers, or scikit-learn.

• Experience in training and fine-tuning large language models using modern toolkits (e.g.,

PEFT, DeepSpeed, FSDP).

• Familiarity with distributed training, mixed-precision training, and checkpoint management.

• Solid understanding of ML fundamentals, including model selection, training/validation

workflows, and performance evaluation.

• Hands-on experience with data handling, feature engineering, and synthetic data generation.

• Working knowledge of experiment tracking tools (Weights & Biases).

• Familiarity with cloud environments (AWS, GCP, Azure) or on-premise GPU clusters.

• Strong problem-solving skills and ability to work independently in a fast-paced environment.

Nice to Have:

• Experience with retrieval-augmented generation (RAG), prompt tuning, or instruction tuning.

• Exposure to quantization and model compression techniques.• Experience with deploying ML models using APIs or serving frameworks (e.g., FastAPI, Triton

Inference Server).",1–3 года,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 7,Формат работы: гибрид,https://almaty.hh.kz/vacancy/119304454?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,9 апреля 2025,Не указано
MLOps AWS/Data Scientist,ООО Шарп Девелоперс,Не указано,Не указано,"Удаленно, рабочий часовой пояс GMT+4. Нужен хороший устный английский не ниже B2!!!!

О нас:

SHARP DEVELOPERS – разработчик программного обеспечения для мобильных устройств и веб-сайтов для заказчиков из США, Европы и России.

Наши клиенты — компании-разработчики продуктов в различных сферах: финтех, путешествия, спорт, медицина, развлечения, медиа, промышленность. Мы работаем над более чем 30 проектами — выберите для себя интересный!

- Мы распределённая команда и у нас обширная география: кто-то работает в Турции, кто-то в Армении, Грузии, Казахстане, Таджикистане, Беларуси, странах ЕС, с Маврикия, кто-то разбросан по России - все мы встречаемся в общих Slack-чатах, где на русском языке обсуждаем и празднуем вместе важные события онлайн и делимся экспертизой, не вставая с дивана. Офиса нет - он прямо у вас дома, это 100% удалёнка в самом чистом ее виде.

На самих проектах общение (дейли и тд.) полностью на английском - поэтому мы ищем того, кто владеет английским языком на уровне не ниже B2.

В роли Data Scientist вы будете работать над извлечением значимой информации из больших наборов данных, разработкой моделей машинного обучения и созданием векторных баз знаний для улучшения бизнес-процессов и продуктов для наших зарубежных заказчиков (проекта под NDA).

Responsibilities:
To identify three ML models
To prepare data for three ML models
To test the models with the provided data (three iterations)
To prepare a report with ML model results (accuracy, recall, confidence)
To prepare instructions for the models' deployment in the form of PoC

Требования:

Hard:
Machine Learning & AI – Model selection, training, and optimization
Data Preparation & Preprocessing – Cleaning, feature engineering, handling missing values
Model Evaluation & Performance Metrics – Accuracy, recall, confidence, precision, F1-score
Statistical Analysis & Mathematics – Probability, linear algebra, hypothesis testing
ML Model Deployment – Writing PoC documentation, using AWS

Soft:
Problem-Solving – Ability to analyze complex datasets and derive insights
Analytical Thinking – Strong logical and critical thinking skills
Attention to Detail – Ensuring data quality and model accuracy
Communication Skills – Ability to present ML results to both technical and non-technical stakeholders
Collaboration & Teamwork – Working effectively with Architect, Engineers, Analysts, and Business teams
Time Management – Balancing multiple ML iterations and deadlines efficiently
Documentation & Reporting – Writing clear model evaluation reports and PoC deployment guides
Creativity & Innovation – Thinking outside the box for model improvements

Что мы предлагаем:

работа удаленного формата с понедельника по пятницу с гибким началом дня
предоставляется отпуск, оплачиваются больничные

постоянную рабочую практику английского языка в российско-американской команде

телемедицина для Вас и семьи

обучение по технологиям в оплачиваемое рабочее время

погружение в культуру западных компаний, стандарты работы за рубежом.

P.S. При отклике в сопроводительном письме укажите, пожалуйста, информацию:

Ваш username telegram
Локацию пребывания
Ваши зарплатные ожидания

Спасибо!

​​",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/119483897?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,14 апреля 2025,"Английский язык,MLflow,Statistical Analysis System,Mathematical Modeling,Amazon Web Services,Английский — B2 — Средне-продвинутый,Русский — B2 — Средне-продвинутый"
Production Engineer,ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» ),посёлок Боралдай,Не указано,"Job Identification
We are looking for a Production Engineer to be a part of our Supply Chain team located in Almaty.
Main Responsibilities
Plan, develop and realize protective and preventive maintenance programs in order to ensure compliance of machines
Ensure realization of planned production program
Carry out production according to the defined standards of process and taking actions to improve the process
Ensure that material yields are within company standards
Develop work safety procedures, make sure the team under supervision follows rules
Set up machine maintenances according to plans
Carry out criteria assessments and prepare the report for continuous improvement and performance follow up, present it to management, plan and implement necessary corrective-preventive actions
Determine training needs of foremen, operator and technician
Make sure the team under supervision follows safety procedures and rules
Manage the line OPEX budget and equipment investment projects
Improve the production methods for developing the quality of the packages & products
Manage the spare parts stock level
Ensure that the GMP and 6S rules are followed
Minimize the production costs and losses
Requirements
University Graduate (Mechanical, Electrical / Electronics Engineering)
Minimum 1-2 years experience in production field
Upper-Intermediate level of English
Good command of Microsoft Office programs
Strong communication and leadership skills
‘’We're an equal opportunity employer. All applicants will be considered for employment without attention to race, sex, color, national or social origin, ethnicity, religion, age, pregnancy, disability, sexual orientation, gender expression or political opinion.’’
What We Embrace:
“People Centered” Focus
Equal Salary Advocate
A Globally Diverse/An International Workplace
Inclusive Team-Building Activities
Digital Learning Opportunities
Leadership Exposure With Organizational Events
Inclusive Language And Culture
Social Clubs/Networks
Inclusive/Family-Friendly Policies
Who We Are
CCI is a multinational beverage company operating in Azerbaijan, Iraq, Jordan, Kazakhstan, Kyrgyzstan, Pakistan, Syria, Tajikistan, Turkey, Turkmenistan, and Uzbekistan. CCI produces, distributes, and sells The Coca-Cola Company's sparkling and still beverages. With 30 bottling plants, 3 fruit processing plants, and more than 10,000 employees in 11 countries, CCI offers a wide range of beverages to a consumer base of 430 million.
Our purpose at CCI is to create value for our employees, customers, consumers, and community. In line with our vision to become the best FMCG company, we put people at the core of everything we do. We achieve successful results with our people who come together as One Team, committing to live by our shared values of passion, integrity, accountability, and teamwork. Our ambition is to become a great place to work, which is inclusive, diverse, and inspiring, with its key organizational and leadership capabilities.
Encouraging a diverse and inclusive organization is core to our commitment at CCI, that's why we nurture it in everything we do. We are proud to become the fourth company to obtain the EQUAL-SALARY global certification and proud to be an Equal Opportunity and Affirmative Action employer, covering in all our countries.
We take responsibility for the future with our Sustainability Commitments for 2030.
Focusing our roadmap on six main areas, including packaging, water, and climate on environmental issues; human rights, diversity & inclusion, and community investments on social issues, we pledged 9 commitments to continuously improve our efforts. To ensure that by the year 2030, 35% of newly hired individuals, 40% of managerial positions, and 50% of executive committee members are comprised of women.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,https://almaty.hh.kz/vacancy/119207566?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,7 апреля 2025,Английский — B2 — Средне-продвинутый
Data Engineer (middle),ТОО inDrive,Не указано,Не указано,"inDrive is an international technological platform for transport and personal services. We are one of the top 2 mobile travel booking services in the world with over 150 million installs, over 2 billion trips, 800+ cities in 40+ countries.

inDrive is a product used by tens of millions of people every month. They make urban or intercity trips, order cargo transportation or courier delivery, look for work and call handymen to provide household services.

inDrive employs more than 3,000 employees, of which 550+ are developers, divided into 50+ cross-functional teams.

We are looking for a Data engineer who will help build a Data Warehouse as part of a team that develops various Data solutions for such business areas as Fintech, Safety, ESG, Government Relation and etc. We expect you to participate in architecture construction, data modeling, share knowledge and receive this knowledge. We are actively building our Data Warehouse and we know for sure that this part of the project is one of the most important parts of the product.

We create data solutions for Geo, Fintech, Safety, ESG, Government Relations, GDPR, and other areas. We are currently actively building a Data Warehouse — a key part of the product. We work with cutting-edge technologies (GCP, AWS, Airflow, Kafka, K8s) and make infrastructure and architectural decisions based on data.
One of the key areas is the development of a personalization system for our users. We are building a large-scale data infrastructure for analytics, machine learning, and real-time recommendations.

Our tech stack:

Languages: Python, SQL, Scala, Go
Frameworks: Spark, Apache Beam Storage and
Analytics: BigQuery, GCS, S3, Trino, other GCP and
AWS stack components Integration: Apache Kafka,
Google Pub/Sub, Debezium, Zero ETL, Firehose ETL: Airflow2
Infrastructure: Kubernetes, Terraform Development: GitHub, GitHub Actions, Jira

What tasks remain to be solved:

Develop the data driven culture within the company
Develop processes for data processing, storage, cleaning, and enrichment
Design and maintain data pipelines from collection to consumption
Develop APIs (REST, gRPC) for high load services
Create infrastructure for storing and processing large datasets on K8S, Terraform
Automate testing, validation, and monitoring of data
Participate in system design and architectural decision making

We expect from the candidate:

Who we are looking for Expert in Python 3.7+, experience with PySpark Deep knowledge of SQL
Extensive experience building ETLs with Airflow2 Industrial experience with Kubernetes
Understanding of data processing principles and algorithms
Excellent knowledge of OOP, design patterns, clean architecture
Proactivity, responsibility, and the ability to take ownership
Would be a plus: Experience with high load services DevOps skills and CI/CD automation experience

We offer:

Stable salary, official employment
Health insurance
Hybrid work mode and flexible schedule
Relocation package offered for candidates from other regions (only for Kazakhstan and Cyprus)
Access to professional counseling services including psychological, financial, and legal support
Discount club membership
Diverse internal training programs
Partially or fully paid additional training courses
All necessary work equipment",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,https://almaty.hh.kz/vacancy/118877569?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,18 апреля 2025,"SQL,Spark,Big Data,Scala,Python,Google Cloud Platform,AWS,PySpark,ETL,Airflow,BigQuery,Алгоритмы и структуры данных,MDM,Data Quality,DataLake,Английский — B1 — Средний"
Data Scientist,ТОО IBA Astana Dev (АйБиЭй Астана Дев),Не указано,Не указано,"We are looking to hire a results-driven Data Scientist with production-level ML experience and strong cloud skills to join our team.

Responsibilities:

Deliver full-cycle machine learning solutions, including exploratory data analysis (EDA), model training and tuning, feature engineering, model validation and interpretation;

Work with large-scale datasets in Databricks / Spark environments;

Deploy models to production using MLflow / MLOps pipelines;

Build dashboards and data visualizations (Power BI, Tableau);

Operate in cloud-based environments (Azure, AWS, or GCP) using storage, pipelines, orchestration tools;

Participate in client meetings, translate business problems into ML tasks, present and defend models;

Maintain and retrain models as needed.

Requirements:

5+ years of experience in Data Science / ML roles;

Deployed ML models into production, not just POCs or academic projects;

Can explain architecture and model logic to non-technical stakeholders;

Understanding of the full ML lifecycle — from raw data to dashboard;

English B2 level and higher;

Tech Stack:

Languages: Python (pandas, numpy, scikit-learn, matplotlib), SQL

Platforms: Azure, AWS, GCP, Databricks

Tools: MLflow, Spark, Synapse Analytics, Power BI, Tableau

Methods: classification, regression, clustering, time series

Processes: CI/CD, MLOps, Git, Jira, Agile/Scrum

Nice to also have:

Experience with Generative AI, NLP, LLMs

Familiarity with Spark SQL / Delta Lake

Background in consulting or multi-domain project work

Conditions:

Official employment under the Labor Code of Kazakhstan

Remote format with an option to work from the office

International projects and team",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,https://almaty.hh.kz/vacancy/119694168?query=Machine+Learning+Engineer&hhtmFrom=vacancy_search_list,18 апреля 2025,Не указано
