title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
"Менеджер Kaspi магазина, офис менеджер",ИП Алдияр,Вакансия опубликована 8 мая 2025 в Алматы,"от 200 000 до 300 000 ₸ за месяц, на руки","Обязанности:

Ведение Kaspi, Teez магазина, прием заказов, размещение товаров, создание карточек товаров.
Написание описание к товару, спецификации, загрузка фото, отслеживание продаж отгруженного ассортимента.
Работа с ценами и скидками, Отслеживание остатков, обзвон клиентов, подготовка заказов для передачи курьерам (упаковка),
Пост продажное обслуживание клиентов(браки), взаимодействие со смежными отделами и складом, решение спорных ситуаций по отгрузке товара.
Работа с документами, работа с отчетами в Excel, ведение Excel прайсов.
Ведение учётной базы: внесение данных о движении товаров (приход/расход).
Работа с документами.
Выполнение поручений.



Требования:

Опыт работы с маркетплейсами
Опыт в продажах
Вежливость
Коммуникабельность
Умение анализировать, способность к работе в условиях многозадачности, пунктуальность, не шаблонность мышления, легкая обучаемость, нацеленность на самосовершенствование.
Внимательность, организованность.



Условия:

Зарплата - 250 000 на руки
6/1 с 09:00 до 19:00
Возможность карьерного роста и повышение зарплаты
Созданы всё условия для работы",1–3 года,Полная занятость,График: 6/1,Рабочие часы: 10,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120346395,"Работа с базами данных,Телефонные переговоры,Ведение отчётности,Составление документации,Аналитика маркетплейсов"
Финансовый аналитик (аналитика продаж),ТОО Казахстанская пивная компания,Вакансия опубликована 8 мая 2025 в Алматы,"от 400 000 ₸ за месяц, на руки","Уважаемый соискатель! ТОО ""Казахстанская пивная компания"" находится в нижней части города, по адресу ул. Бурундайская 93Б. Убедительная просьба откликаться только тех кандидатов, кого устраивает месторасположение компании.

Обязанности:

взаимодействие с контрагентами в части предоставления отчетов и первичной документации;
сверка отчетов (работа Excel), проверка первичной документации на корректность;
формирование итоговых таблиц по объему выполненных работ/продаж;
формирование ежемесячных отчетов по продажам;
подготовка аналитических отчетов по требованию.
Требования:
владение MS Excel на уровне опытного пользователя обязательно ( сводные таблицы, ВПР, суммеслимн.);
Умение работать в программе 1С,
способность к выполнению рутинной работы
уверенный пользователь пакета Microsoft Office (Excel, Word, MS PowerPoint)
Условия:
оформление в соответствии с ТК РК;
официальная заработная плата;
5-ти дневная рабочая неделя (понедельник - пятница), с 08:00 до 17:00",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120231159,"MS Excel,Прогнозирование продаж,План-факт анализ,Финансовый анализ,Аналитическое мышление"
Кредитный менеджер,ТОО МФО Swiss Capital (Свисс Капитал),Вакансия опубликована 8 мая 2025 в Актау,"от 183 000 до 400 000 ₸ за месяц, на руки","Swiss Capital — международная микрофинансовая компания с амбициозными целями. Мы расширяем команду и ищем энергичных, надёжных сотрудников, готовых расти вместе с нами.

Почему выбирают нас?

• Стабильность международной компании;
• Обучение и поддержка с первого дня;
• Прозрачная система мотивации и карьерного роста;
• Современные инструменты и стандартизированные процессы;
• Реальная возможность влиять на развитие бизнеса.

Ваши задачи:

• Выдача микрозаймов под залог недвижимости и автомобилей;
• Распространение рекламных материалов, выполнение планов;
• Консультирование клиентов по условиям кредитования;
• Оценка платёжеспособности, проведение финансового анализа;
• Сопровождение клиентов до полного погашения займа.

Наш идеальный кандидат:

• Имеет опыт работы в МФО или банке от 1 года;
• Образование: средне-специальное или высшее;
• Легко находит подход к людям;
• Уверенный пользователь ПК;
• Ответственный, стрессоустойчивый;
• Свободно владеет русским и казахским языками.

Мы предлагаем:

• Оформление согласно ТК РК;
• Конкурентную зарплату: оклад + бонусы;
• Ежегодный оплачиваемый отпуск;
• График 5/2 с 10:00 до 19:00;
• Медицинское страхование;
• Возможность профессионального и карьерного роста.

Готовы к новым вершинам вместе с нами?
Присылайте резюме — мы ждём именно вас!",1–3 года,"Полная занятость
Стажировка",График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/119863737,"Заключение договоров,Финансовая отчетность,Активные продажи"
Помощник бухгалтера,ТОО FRIGG,Вакансия опубликована 8 мая 2025 в Алматы,"400 000 ₸ за месяц, на руки","Помощник бухгалтера

Обязанности:

-осуществляет организацию бухгалтерского учета и финансово-хозяйственной деятельности;

-своевременная подготовка и сдача налоговой отчетности;

-формирует учетную и налоговую политику;

-осуществляет формирование и своевременное представление полной и достоверной бухгалтерской информации о деятельности Товарищества;

-организует учет имущества, обязательств и хозяйственных операций;

-осуществляет прием и проверяет порядок оформления первичных бухгалтерских документов;

-осуществляет расчеты и платежные обязательства, расходования фонда заработной платы, правильное начисление заработной платы;

-проведение аудиторских проверок;-ведение бухгалтерского учета и отчетности по МСФО.

Требования:

- профильное высшее образование;

- опыт работы не менее 3 лет на позиции ""помощник бухгалтера"".

- многозадачность.

Условия:

- Официальное трудоустройство, согласно ТК РК;

- График с 10:00-18:00.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120342257,"Бухгалтерская отчетность,Отчетность в ФНС,Основы налогового учета,Оформление доверенностей,Учет ТМЦ,Кадровый аудит,1С: Документооборот,Расчет заработной платы,1С: Предприятие 8,Налоговая отчетность,Отчет о движении денежных средств,Главбух,Электронный документооборот,Бухгалтерский баланс,Расчет налогов,Контроль кредиторской задолженности,1С: Бухгалтерия,Архивирование документов,Финансовый анализ,Основы бухгалтерского учета,Налоговые декларации,Платежные поручения,Первичная бухгалтерская документация,Восстановление бухгалтерского учета"
Специалист по анализу и управленческой поддержке,ТОО Автомотив Ассистанс Альянс,Вакансия опубликована 8 мая 2025 в Алматы,"350 000 ₸ за месяц, на руки","Обязанности:
Ведение и сбор первичных данных для анализа из отделов продаж, послепродажного обслуживания, маркетинга и других подразделений.
Составление ежемесячных отчетов, графиков и анализ ключевых показателей.
Выполнение разовых запросов руководства по данным и аналитике.
Требования:
Желательно опыт работы в экономическом отделе, казначействе, анализе данных или бухгалтерии.
Уверенное владение следующими программами:
Excel (обязательно, знание формул, построение графиков);
PowerPoint (обязательно);
Word, почта (на уровне уверенного пользователя).Знание Power BI будет преимуществом.
Понимание ключевых показателей компании, умение их анализировать и объяснять отклонения.
Личностные качества:
Исполнительность и ответственность.
Внимание к деталям.
Аналитическое мышление (умение не только предоставлять данные, но и объяснять их)

Условия:

График: 8 часов в день, 5/2. Возможен выбор времени начала работы:
с 8:00 до 17:00,
с 9:00 до 18:00,
с 10:00 до 19:00.

Предусмотрен годовой бонус, размер которого определяется на основании качества выполнения задач, соблюдения дисциплины и других ключевых показателей.

Почему это интересно?
Мы предлагаем обучение и поддержку в освоении инструментов и программ, чтобы вы могли стать экспертом в анализе данных. Для нас важно, чтобы вы разбирались в работе с цифрами, знали, какие формулы использовать в Excel, и понимали, как визуализировать данные для наилучшего восприятия.

Если вы хотите развиваться в аналитике, работать с интересными задачами и вносить вклад в улучшение бизнес-процессов, мы ждем ваше резюме!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120233023,"MS PowerPoint,Аналитические тексты,Исследовательский анализ данных,Подготовка презентаций,MS Excel,Анализ бизнес-процессов,Работа в команде,Бизнес-анализ"
Кредитный менеджер,ТОО МФО Swiss Capital (Свисс Капитал),Вакансия опубликована 8 мая 2025 в Костанае,"от 183 000 до 400 000 ₸ за месяц, на руки","Swiss Capital — международная микрофинансовая компания с амбициозными целями. Мы расширяем команду и ищем энергичных, надёжных сотрудников, готовых расти вместе с нами.

Почему выбирают нас?

• Стабильность международной компании;
• Обучение и поддержка с первого дня;
• Прозрачная система мотивации и карьерного роста;
• Современные инструменты и стандартизированные процессы;
• Реальная возможность влиять на развитие бизнеса.

Ваши задачи:

• Выдача микрозаймов под залог недвижимости и автомобилей;
• Распространение рекламных материалов, выполнение планов;
• Консультирование клиентов по условиям кредитования;
• Оценка платёжеспособности, проведение финансового анализа;
• Сопровождение клиентов до полного погашения займа.

Наш идеальный кандидат:

• Имеет опыт работы в МФО или банке от 1 года;
• Образование: средне-специальное или высшее;
• Легко находит подход к людям;
• Уверенный пользователь ПК;
• Ответственный, стрессоустойчивый;
• Свободно владеет русским и казахским языками.

Мы предлагаем:

• Оформление согласно ТК РК;
• Конкурентную зарплату: оклад + бонусы;
• Ежегодный оплачиваемый отпуск;
• График 5/2 с 10:00 до 19:00;
• Медицинское страхование;
• Возможность профессионального и карьерного роста.

Готовы к новым вершинам вместе с нами?
Присылайте резюме — мы ждём именно вас!",1–3 года,"Полная занятость
Стажировка",График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/119863887,"Активные продажи,Заключение договоров,Поиск и привлечение клиентов,Продажа кредитных продуктов,Финансовый анализ"
Финансовый аналитик / Помощник финансового директора,ТОО Аманат,Вакансия опубликована 8 мая 2025 в Караганде,Не указано,"Обязанности:

Анализ финансово-хозяйственной деятельности Компании, предложения по оптимизации расходов/увеличению доходов;
Подготовка финансовых отчетов, расчет финансовых показателей деятельности Компании;
Расчет окупаемости, рентабельности инвестиционных проектов;
Финансовое планирование, работа с банками (подготовка писем, пакета документов для мониторинга по кредитным линиям, в т.ч. отчетов и расшифровок к финансовой отчетности).

Требования:

Высшее образование в области финансов/экономики/бух. учета, ​​дополнительные курсы или сертификаты будут преимуществом;
Опыт работы в финансовой сфере, предпочтительно с опытом аналитической работы;
Знание программ 1С, Microsoft Excel на уровне хорошего пользователя;
Хорошие аналитические и коммуникационные навыки, организационные способности;
Умение достигать поставленных целей.

Условия:

Работа в крупной, активно развивающейся компании;
Возможность профессионального и карьерного роста, гибкое отношение к новым идеям;
Оформление согласно ТК РК;
График работы: 5/2, рабочий день с 9:00 до 18:00 (перерыв 13:00 - 14:00);
Стабильная заработная плата;
Питание за счет компании, корпоративная сотовая связь;
Трансфер до офиса на рабочем автобусе;
Программа поддержки здоровья сотрудников (фитнес-центр с 50% скидкой);
Дружный коллектив, комфортные условия труда.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120347566,"Работа с большим объемом информации,Аналитическое мышление,Анализ текущих финансовых показателей,Внутренний финансовый аудит,Оптимизация затрат,Прогнозирование,Финансовый анализ,Анализ данных,Анализ рисков,Анализ бизнес показателей,Деловая коммуникация,Финансовое планирование"
Финансовый директор,ТОО HAS Global Logistic,Вакансия опубликована 8 мая 2025 в Алматы,Не указано,"HAS Global Logistic"" – это современная транспортно-экспедиторская компания, предоставляющая комплексные логистические решения.

Мы ценим профессионализм, развитие и вовлеченность наших сотрудников. Присоединяйтесь к нашей команде, чтобы вместе создавать будущее логистики!

В связи с расширением мы в поисках Финансового директора.

Обязанности:

Разработка финансовой стратегии, бюджета и прогнозов.

Анализ финансовых показателей и управление рисками.

Контроль ликвидности, платежного календаря и кассовой дисциплины.

Подготовка понятной управленческой отчетности (P&L, CF и др.).

Оптимизация и автоматизация финансовых процессов.

Управление дебиторской и кредиторской задолженностью.

Взаимодействие с банками, инвесторами и аудиторами.

Назначение, развитие и контроль работы финансовой команды.

Разработка регламентов, процедур и стандартов.

Повышение рентабельности и устойчивости бизнеса.

Мы ожидаем:

Опыт работы финансовым директором или руководителем финансового блока не менее 5 лет, желательно в логистике, транспорте или смежных отраслях.

Глубокие знания МСФО, налогового планирования, бюджетирования и финансового анализа.

Навыки управления проектами финансовой трансформации, автоматизации процессов и построения управленческой отчетности «с нуля».

Умение работать в высоко динамичной и ответственной среде, ориентация на результат и стратегическое мышление.

Высшее финансовое/экономическое образование, наличие ACCA, CPA, CFA или аналогичных квалификаций — плюс.

Условия:
График работы 5/2 с 09:00 до 18:00;
Официально трудоустройство согласно ТК РК;
Финансирование обучающих программ и тренингов, участие в конференциях и семинарах;
Современный офис в бизнес-центре «NGDEM» (Отеген батыра - Кабдолова);
Фиксированный оклад + годовой бонус",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120344685,"Финансовое моделирование,Финансовый анализ,Финансовые показатели,Управленческая отчетность,Финансовый менеджмент,Финансовая отчетность,Финансовый контроль,Бюджетирование,Формирование аналитической отчетности,Налоговое планирование,Планирование затрат,Управление бухгалтерией,Управление затратами,Казахский — C1 — Продвинутый,Английский — B2 — Средне-продвинутый,Русский — C2 — В совершенстве"
Ведущий риск-менеджер,ТОО Микрофинансовая организация MyCar Finance,Вакансия опубликована 8 мая 2025 в Алматы,Не указано,"Обязанности:
Финансовый анализ субьектов предпринимательства
Подготовка экспертного заключения по кредитным заявкам
Анализ кредитоспособности физических лиц
Анализ и обработка предоставленных документов/ информации для обработки и возможности принятия решения
Обеспечение проведения и участия в проверках регуляторных органов, внешних и внутренних аудиторов, международных рейтинговых агентств и др. уполномоченных государственных органов
Подготовка отчетности
Написание новых и внесение изменение в действующие ВНД
Требования:
Высшее экономическое/финансовое/математическое/техническое образование
Опыт работы не менее 3-х лет в сфере мсб/ корпоративного финансирования
Уверенное владение финансовым анализом
Условия:
Медицинское обслуживание в сети «Cordis»: с лимитом, утвержденным в Компании
Скидка на абонементы в фитнес-центры
Паркинг для личного авто
Корпоративное обучение и карьерный рост
Материальная помощь при личных событиях",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120232589,Не указано
DevOps-инженер,ТОО Halyk Finservice,Вакансия опубликована 8 мая 2025 в Алматы,Не указано,"Отдел: E-commerce

Формат: Только офис, полная занятость

Обязанности:

Администрирование серверов;

Улучшение и оптимизация процессов непрерывной интеграции и непрерывной доставки (CI/CD);

Обеспечение высокой доступности и надежности системы;

Настройка и поддержка систем мониторинга для раннего обнаружения и решения проблем;

Разработка и поддержка процессов автоматизированной сборки и доставки приложений;

Управление и поддержка контейнеризации (например, Docker) и оркестрации (например, Kubernetes);

Сотрудничество с командой разработчиков для обеспечения эффективного использования инструментов DevOps;

Участие в ночных и утренних работах согласно регламенту организации (компенсируется отгулом);

Своевременно реагировать на инциденты;

Быть частью команды (очень дружный коллектив).

Требования:

Опыт администрирования ОС семейства Linux;

Опыт работы в области DevOps;

Технические навыки в области автоматизации, контейнеризации;

Знания в области администрирования Docker, Kubernetes, Jenkins, оптимизации и мониторинга производительности систем;

Отличные коммуникационные навыки, способность эффективно взаимодействовать с другими членами команды и проект-менеджерами;

Знания и опыт работы с DevOps инструментами (Git, Jenkins, Ansible, Elastic Stack, Grafana, Zabbix, Prometheus, Kafka, Zookeeper и т.д.);

Понимание механизма работы сетей, протоколов маршрутизации, VPN, firewall, DNS, DHCP, TCP, UDP и пр.

Здорово если у тебя есть:

Знания и опыт разработки скриптов (python/bash/go и др.) для автоматизации широкого спектра задач, потому что мы избавляемся от рутины.

Условия:

Медицинское страхование + возможность подключить членов семьи;

Свободный dress code;

Оформление согласно ТК РК, 30 календарных дней отпуска;

Конкурентная заработная плата;

Комфортный офис в верхней части города;

Теплая атмосфера, крутая команда, помощь и поддержка коллег;

Возможность участвовать в разработке крупного продукта, которым будешь гордиться;

Обучение и развитие.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,8 мая 2025,https://hh.kz/vacancy/120346515,Не указано
