title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Старший администратор учета продаж,ТОО NS 2GIS,Вакансия опубликована 10 мая 2025 в Астане,"300 000 ₸ за месяц, на руки","Обязанности:
Контроль продаж
⁠Контроль АВР
⁠Контроль работ Администраторов учета продаж в регионах (АУП)
Проверка планирование
Проверка ведомостей
⁠Работа в базе данных 1C, CRM и т.д.
Формирование отчетности для руководства
Работа с аналитическими таблицами в приложениях MS Exсel, Google таблицы.
Взаимодействия с АУПами, с коммерцией, и с бухгалтерией
Требования:
Высшее образование (экономическое, математическое), техническое
Приветствуется опыт 1 год в должности аналитик отдела продаж, бухгалтер, экономист, ассистент отела продаж, сотрудник отвечающий за документооборот. Возможно рассматривать кандидата без опыта, при наличии навыков работы с Excel и хорошими аналитическими навыками.
Знание и навыки работы в программе 1С бухгалтерия 8.3, ИС ""ЭСФ""
Знание основы бухгалтерского учета в соответствии со стандартами бух. учета
Внимательность к деталям. Высокая переключаемость внимания. Внимательность не снижается при высокой скорости работы. Легко переключает внимание с одного на другое.
Аналитические навыки: умеет обрабатывать большой объем информации, умеет выделять основное, может выделить структуру.
Условия:

Оформление согласно ТК РК

График работы 5/2

компания угощает печеньками, чаем и кофе",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,10 мая 2025,https://hh.kz/vacancy/119586823,"Работа с большим объемом информации,1С: Предприятие 8,Работа с базами данных,Электронный документооборот"
Эксперт-аналитик,ТОО iMAS GROUP,Вакансия опубликована 10 мая 2025 в Астане,"300 000 ₸ за месяц, на руки","“iMAS Group” - международная IT- компания - разработчик системы мониторинга СМИ и социальных сетей. Офисы в гг.Астана, Семей и Ташкент. В планах выход на рынки стран СН, ЮВА и США.

Мы решаем любые задачи в сфере медиа анализа и по мониторингу общественно-политической ситуации, стратегическому анализу и прогнозированию, репутационному аудиту и антикризисному PR.
Мониторим ведущие СМИ мира из 150 стран, социальные сети, телеграмм каналы, мессенджеры.
Предоставляем доступ к системе 24/7 с любых устройства. Формируем отчеты ежечасно/ежедневно.

Обязанности:

Сбор, обработка большого массива данных из СМИ и
соцсетей;
Работа в авторской программе;
Формирование информационно-аналитических и презентационных материалов по итогу исследования.
Требования:
Опыт написания аналитических записок, справок и формирования различных отчетов;
Образование в сфере политологии, социологии, журналистики, международного отношения или права;
Опыт работы в аналитических Центрах, отделах и организациях;
Умение ориентироваться в информационном
пространстве и госинформполитике Казахстана.
Условия:
Офис в центре левого Берега
График работы Пн-Пт - с 9:00-18:00,
Дружный молодой коллектив;
Обучение и адаптация;
Возможность карьерного и профессионального роста;
Корпоративные мероприятия и бонусы и т.д.;
Окончательная заработная плата определяется от уровня квалификации и по результатам собеседования.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,10 мая 2025,https://hh.kz/vacancy/119580580,"Анализ данных,Подготовка презентаций,Работа с большим объемом информации,Анализ рисков,Сбор и анализ информации,Аналитическое мышление,Аналитические исследования,Аналитика,Работа с базами данных,Статистический анализ,Базы данных,Подготовка отчетов,Составление отчетности,Точность и внимательность к деталям,Оперативный поиск информации в сети Интернет,Работа с системами аналитики,Написание справок,Подготовка аналитических записок,Политанализ,Медиа-мониторинг,Медиаанлиз"
Hr-менеджер (рекрутер) в онлайн-школу,ТОО ACADEMICA COURSES,Вакансия опубликована 10 мая 2025 в Астане,"от 500 000 ₸ за месяц, на руки","Привет наш дорогой кандидат! Мы онлайн IT-школа Academica Courses и сейчас мы находимся в поиске HR-менеджера в нашу команду.

Мы — онлайн-школа Academica, участники Astana Hub, крупнейшего IT-технопарка Центральной Азии. За 3,5 года мы обучили 2500+ студентов, которые сейчас работают в таких компаниях, как Kaspi, Air Astana, Schlumberger и еще в 100+ ведущих компаниях. Наша цель — помогать людям строить успешную карьеру в IT и аналитике данных.

Мы ищем опытного HR-менеджера (рекрутера), который имеет опыт найма ОП и четко знает как это работает . Мы быстро растем и даем возможность сделать крутые результаты и сильный кейс вместе с нами.

Чем предстоит заниматься:

Поиск и подбор персонала, публикация вакансий на различных площадках;
Проведение аудио и видео собеседований, проведение первичного мотивационного тестирования;
Коммуникация с кандидатами: направление тестовых заданий, приглашений на собеседования, направление отказов и офферов;
Заполнение отчетности и контроль воронки найма.

Что для нас важно:

У тебя есть опыт работы рекрутером, HR-менеджером в онлайн-школе;
Ты хорошо знаешь рынок Казахстана и понимаешь менталитет;
Ты не боишься ""сложных вакансий"" и любишь общаться с людьми;
У тебя есть навык работы с массовым наймом (сейчас главная задача - массовый найм в отделы продаж);
Ты владеешь грамотной устной и письменной речью;
Ты всегда несешь ответственность за свой результат и умеешь работать в режиме многозадачности.

Что мы предлагаем:

Фиксированный оклад + бонус KPI;
График работы - 5/2, с 10 до 19, полная удаленка;
Есть возможность работать по ТК Казахстана;
Работа в современной и быстроразвивающейся команде с людьми, которые любят свое дело.

Если ты сейчас находишься в поиске проекта на полную занятость и готов расти вместе с нами, то откликайся и расскажи нам, какая твоя супер-сила HR .",3–6 лет,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: удалённо,10 мая 2025,https://hh.kz/vacancy/120355369,"Подбор персонала,Система мотивации персонала,Найм персонала,Мотивация сотрудников,Обучение персонала,Массовый подбор персонала"
"Специалист по тендерам (госзакупки, самрук)",ИП Метеркулова М.Е.,Вакансия опубликована 9 мая 2025 в Алматы,"от 250 000 до 600 000 ₸ за месяц, на руки","Наша компания уже более 10 лет занимается оптовой поставкой автозачастей по тендерам.

Обязанности:

Мониторинг сайтов Государственных закупок, закупок фонда Самрук Казына, закупок Недропользователей по автозачастям
Расчет тендеров по автозачастям
Вести деловой диалог и переписку с заказчиком и поставщиком
Согласование, подача заявок, ценовых предложений, дополнений заявок
Обжалование протокола допуска, итогов (в случае необходимости)
Заключение договоров и дальнейшее полное сопровождение выигранного тендера, от закупа ТРУ до получением оплаты от заказчика
Работа с транспортными, логистическими компаниями
Финансовый анализ, отчетность по исполненным договорам
Отслеживание изменений в правилах и стандартах закупок
Требования:
Опыт работы не менее 2 лет
Внимательность, исполнительность, коммуникабельность
Свободное владение русским и казахским языками (разговорный)
Полное знание законов Государственных закупок и стандартов закупочной деятельности фонда Самрук Казына
Свободное владение функционалом порталов
Условия:
Высокая и своевременная заработная плата (Сумма зависит от опыта работы)
Полный рабочий день (с 9 ч. до 18 ч.)
Нет дистанционной (удаленной) работы. Работа только в офисе
Обязательно иметь опыт в тендерах со стороны поставщика",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 9,Формат работы: на месте работодателя,9 мая 2025,https://hh.kz/vacancy/120294772,"Тендеры,Участие в Тендерах,подготовка документов для участия в тендерах,Проведение тендеров,Государственные закупки,Русский язык,Казахский язык,Финансовый анализ,Закупки"
Менеджер по проектам,ТОО Klimatrade,Вакансия опубликована 10 мая 2025 в Алматы,"от 700 000 ₸ за месяц, на руки","«KLIMATRADE» — это компания, которая завоевала репутацию лидера на рынке поставок инженерного оборудования для строительства. Мы гордимся высочайшими стандартами качества и уровнем обслуживания наших клиентов. В связи с динамичным развитием нашего бизнеса, мы ищем энергичного и результативного Менеджера по проектам. Мы ценим профессионализм и стремление достигать результатов.

Обязанности:

Работа с проектными организациями;
Подбор климатического оборудования Klimatrade на ключевые проекты: государственные, коммерческие, промышленные;
Поиск потенциальных проектов: холодные звонки, переговоры, встречи, презентации;
Сотрудничество с государственными органами: акимат, генплан, проектные и строительные компании;
Ведение переговоров технического и коммерческого характера на всех стадиях проекта;
Подготовка коммерческих предложений, контроль документооборота;
Развитие долгосрочных отношений и увеличение объемов продаж;
Ведение всей отчетности по проектам в Bitrix CRM.

Требования:

Высшее образование, желательно техническое
Опыт работы в сфере продаж/ведения проектов от 3х лет, предпочтительно в области продажи промышленного оборудования, строительства или других B2B-сегментах
Навыки ведения переговоров и успешный опыт реализации проектов
Знание современных техник продаж и управления клиентским сервисом
Умение работать с аналитикой и отчетностью, а также принимать решения на основе данных
Ориентация на результат, высокий уровень ответственности и самоорганизации

Мы предлагаем:

Работу в успешной компании
Конкурентоспособную заработную плату, включающую фиксированный оклад и бонусы
Возможность реализации амбициозных проектов в быстроразвивающейся компании
Корпоративную связь
Корпоративное обучение и тренинги
Современный офис с комфортными условиями труда
Дружный и профессиональный коллектив

Условия:

Официальное трудоустройство согласно Трудовому кодексу РК
График работы: 5/2 с 09:00 до 18:00
Трудовой оплачиваемый отпуск 24 календарных дня в год

Если вы хотите стать частью команды ""KLIMATRADE"" и внести свой вклад в наш успех, пожалуйста, оставьте свой отклик прямо сейчас!

Мы ждем сотрудника, который готов расти и развиваться вместе с нами!",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,10 мая 2025,https://hh.kz/vacancy/119960238,"Активные продажи,Развитие ключевых клиентов,Поиск и привлечение клиентов,B2B Продажи,работа с текущей базой клиентов,Деловое общение,Подготовка коммерческих предложений,Планирование продаж,Привлечение клиентов,Продажи корпоративным клиентам,Основы управления проектами,Контроль проектной документации"
Ведущий специалист Финансово-аналитического отдела,ТОО Юридическое агентство Правозащита,Вакансия опубликована 10 мая 2025 в Алматы,"от 160 000 до 230 000 ₸ за месяц, на руки","Обязанности:
обработка и загрузка платежей по выпискам от Банка
обработка запросов от Компаний по возвратам ошибочно поступивших, излишне поступивших платежей/переноса платежей с одного договор банковского займа на другой.
подготовка справок основного займа/долга плательщика.
Требования:
внимательность т.к работа подразумевает точность;
знания ПК (excel, word и т.д.);
корпоративный опыт работы.
Условия:
официальное трудоустройство;
стабильная заработная плата с ежегодным повышением;
молодой коллектив;
уютный офис в центре города
возможность расти и развиваться в сфере финансовой аналитики.",1–3 года,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,10 мая 2025,https://hh.kz/vacancy/119569048,"Финансовая отчетность,Финансовые показатели,MS PowerPoint,Работа с большим объемом информации,Финансовый анализ,Управленческая отчетность,MS Excel,Платежи / Переводы,Банковское кассовое обслуживание"
Ассистент-помощник для менеджера WB,ИП I like,Вакансия опубликована 10 мая 2025 в Астане,"от 200 000 до 280 000 ₸ за месяц, на руки","Задачи ассистента-помощника для менеджера WB:
- Выполнений поручений менеджера
- Ведение и развитие товаров на маркетплейсе Wildberries вместе с менеджером WB
- Продвижение и запуск брендов
- Разработка стратегии, планирование и проведение маркетинговых активностей и анализ их эффективности
- Внутренняя и внешняя реклама, работа с блогерами анализ рекламы, ключевые слова
- Исследование рынка и анализ ниш, конкурентов и тренды
- Планирование продаж по категории и по товарам
- Управление ассортиментом, обеспечение на сайте актуальных данных
- Управление контентом, размещение новых товарных позиций, заполнение карточек и SEO-описаний, инфографика (умение работать с canva)
- Работа с аналитикой
- Постановка задач дизайнерам, написание ТЗ
- Подготовка отчетности и аналитики по результатам работы
- Отслеживание нововведений, изменений по работе с маркетплейсами
Ключевые навыки:
- Умение быстро обучаться и адаптироваться к новым условиям рынка - Есть опыт работы помощником руководителя либо ассистентом
- Опыт работы на маркетплейсе Wildberries от 6 мес (карточки товаров, поставки, акции, аналитика продаж)
- Знание алгоритмов ранжирования, требований к контенту, обновлений оферты
- Самостоятельность, инициативность, активность и нацеленность на результат
- Соблюдение сроков исполнения запланированных задач
Что мы готовы вам дать?
- Поддержку, внутренне обучение
- Уютный и дружный коллектив, нацеленный на результат
- Удаленный формат работы
- Возможность развития и карьерного роста
- Возможность воплощения перспективных идей",1–3 года,Полная занятость,График: 6/1,Рабочие часы: по договорённости,Формат работы: удалённо,10 мая 2025,https://hh.kz/vacancy/120355304,Не указано
Маркетолог,ТОО L`aroush Jewelry,Вакансия опубликована 10 мая 2025 в Алматы,"от 600 000 до 1 000 000 ₸ за месяц, на руки","В ювелирный дом L’aroush ищем маркетолога с управленческим мышлением, который поможет нам выстроить системный маркетинг и готов в будущем взять на себя руководство всем направлением.

Уровень: Middle–Senior, с потенциалом роста до Head of Marketing

Обязанности:

Разработка и реализация маркетинговых кампаний (онлайн и офлайн);
Ведение маркетингового календаря бренда (сезонность, запуски, инфоповоды);
Управление подрядчиками и взаимодействие с SMM-отделом
Подготовка ТЗ и контроль выполнения задач подрядчиков;
Работа с аналитикой: сбор и интерпретация данных, отчётность по эффективности маркетинговых кампаний;
Генерация и реализация новых идей для роста узнаваемости и продаж;
Участие в формировании позиционирования бренда, tone of voice и коммуникационной стратегии.
Требования:
Опыт работы в маркетинге от 4 лет (опыт с брендом товаров — желательно);
Опыт взаимодействия с подрядчиками (подбор, контроль, оценка работы);
Умение мыслить стратегически и работать с цифрами (бюджет, метрики);
Креативность, инициативность и навык самостоятельной постановки задач;
Готовность вырасти в руководителя маркетинга и взять на себя больше ответственности;
Приветствуется: опыт в fashion/luxury/ювелирной индустрии
Условия:

Формат работы: гибрид ( 3 дня в офисе, 2 дня- онлайн)

Испытательный срок 2 месяца

KPI",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 7,Формат работы: на месте работодателя или гибрид,10 мая 2025,https://hh.kz/vacancy/120157314,"Маркетинговые метрики,Организаторские навыки,Продвижение бренда,Позиционирование бренда,Медиапланирование,Оптимизация маркетинговых кампаний,Стратегическое мышление,Маркетинговая стратегия,Английский — B1 — Средний"
Главный менеджер по взаимодействию с финансовыми институтами,ТОО ARTEX MACHINERY,Вакансия опубликована 9 мая 2025 в Алматы,"от 700 000 ₸ за месяц, на руки","Обязанности:

Взаимодействие с банками, инвестиционными фондами и другими финансовыми институтами

Подготовка и сопровождение заявок на кредитование, лизинг, факторинг и другие финансовые продукты

Ведение переговоров и заключение договоров с финансовыми организациями

Анализ финансовых условий и выбор оптимальных партнёров

Контроль исполнения обязательств по финансовым договорам

Контроль своевременности оплат по реестрам, переписка с банками.

Подготовка отчетности и финансовой документации, защита перед руководством

Требования:

Опыт работы с финансовыми организациями от 3 лет

Знание банковских продуктов, условий финансирования, принципов кредитования

Отличные навыки коммуникации и ведения переговоров

Высшее образование в области финансов, экономики или смежных направлений

Уверенное владение Excel и профильными программами

Мы предлагаем:

Работу в стабильной компании с амбициозными проектами

Конкурентоспособную заработную плату

Возможности для профессионального роста

Участие в развитии финансовой стратегии компании",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,9 мая 2025,https://hh.kz/vacancy/120351606,"Финансовая отчетность,Финансовый анализ,Банковские операции,Финансовое планирование,Финансовый контроль,Экономическое обоснование"
Кредитный менеджер в Сарыагаш,ТОО МФО Swiss Capital (Свисс Капитал),Вакансия опубликована 9 мая 2025 в Сарыагаше,"от 183 000 до 400 000 ₸ за месяц, на руки","В связи с расширением деятельности компании Swiss Capital, объявляется конкурс на занятие вакантной должности «Кредитный менеджер».

""Swiss Сapital"" - международная компания по предоставлению микрокредитов населению. Мы активно работаем над развитием международного бренда, для этого нам нужны амбициозные и ответственные сотрудники, готовые расти и развиваться.

С нашей стороны предоставляем полное обучение, прозрачную систему мотивации и карьерный рост.

У нас стандартизированные процессы, и мы прислушиваемся к каждому нашему сотруднику в целях улучшения нашей работы.

Если это про вас, ждем вас на отбор!

Обязанности:

Выдача микрозаймов под залог недвижимости и автомобиля;
Выполнение плана продаж, распространение рекламной продукции;
Консультирование клиентов по вопросам условий кредитования;
Оценка платежеспособности заемщика, финансовый анализ;
Сопровождение займов до полного погашения.

Требования:

— Опыт в МФО или банке от 1 года (желательно);
— Образование: средне-специальное или высшее;
— Знание казахского и русского, ПК, навыки общения;

Условия:

Оформление в соответствии с ТК РК;
Стабильная заработная плата (оклад + бонусы);
График работы 5/2 с 10:00 до 19:00;
Медицинское страхование, оплачиваемый трудовой отпуск.",1–3 года,"Полная занятость
Стажировка",График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,9 мая 2025,https://hh.kz/vacancy/119555479,"Активные продажи,Финансовая отчетность,Клиентоориентированность,Коммуникативные навыки"
