title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Бизнес-аналитик,ТОО Виктори-Технолоджи,"Астана, улица Жошы хана, 27","от 700 000 ₸ за месяц, на руки","Виктори-Технолоджи занимается автоматизацией бизнес-процессов и построением цифровых платформ.

Штат компании насчитывает более 50 профессионалов: сертифицированных аналитиков, руководителей проектов, Full stack, Backend, frontend разработчиков, команду по разработке сервисов интеграции, отдел технической поддержки систем, ИТ и функциональных архитекторов.

Аналитик в нашей компании:

Собирает и систематизирует данные

Моделирует бизнес-процессы

Взаимодействует со стейкхолдерами

Готовит техническую и проектную документацию

Требования к квалификации:

Опыт работы бизнес аналитиком от 3 лет

Опыт участия на всех этапах разработки ПО в качестве бизнес или системного аналитика

Опыт сбора, анализа и описания требований к разрабатываемым решениям (Use Case, User Story)

Опыт разработки проектной документации (ТЗ, СТПО, эксплуатационные документы)

Опыт разработки моделей бизнес-процессов as-is/to-be, знание основных нотаций BPMN, UML

Опыт работы по методу Scrum будет плюсом

Желательные навыки:

Проведение предпроектного анализа и работа с потенциальными заказчиками

Сбор, анализ и описание требований к разрабатываемым решениям

Моделирование бизнес-процессов

Разработка функциональных и нефункциональных требований

Отработка и согласование требований с заинтересованными лицами

Разработка проектной документации

Постановка задач разработчикам

Демонстрация функционала, презентация решений

Условия:

Заработная плата зависит от квалификации

Работа в офисе г. Астана, ул.Жошы хан 27, н.п.4

5 дней в неделю с 9:00 до 18:00

Найм в штат, испытательный срок 3 месяца

Ежегодный оплачиваемый отпуск 24 дня

Практикуем быстрый найм, без долгих согласований и этапов",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,25 апреля 2025,https://hh.kz/vacancy/118898021,"BPMN,UML,Бизнес-анализ,Моделирование бизнес процессов,Разработка технических заданий,Постановка задач разработчикам,Аналитическое мышление,Use Case Analysis,User Story,Бизнес-моделирование,Системное мышление,Scrum,YouTrack"
Senior DevOps специалист,ТОО BTS Digital,"Астана, проспект Рахимжана Кошкарбаева, 1/4",Не указано,"Компания BTS Digital создает цифровые продукты и сервисы, которые помогают людям. В экосистеме реализуются проекты для повседневной жизнедеятельности, ведения бизнеса и госуправления. Более 9 миллионов пользователей уже выбрали нас и наши продукты: AituCloud, Aitu Messenger, eOtinish (заявления в гос. органы онлайн), Digital ID (Система идентификации), Aitu Koshelek 2.0, Aitu Passport, Система Мгновенных Платежей. Мы в поиске Senior DevOps инженера в команду DID.

Что нужно делать:

Планировать, развивать и поддерживать инфраструктуру быстро растущего проекта
Заниматься автоматизацией и избавлением себя, и коллег от рутины
Помогать разработчикам проектировать производительные отказоустойчивые решения
Мы ждем, что вы:
Не менее пяти лет работаете с Linux и открытым ПО
Умеете и любите автоматизировать рутинные операции
Понимаете, зачем и как организовать мониторинг на всех уровнях - железо, сеть, система, приложения
Умеете автоматизировать и программировать на любом из выбранных вами языках
Внедряли и поддерживали процессы CI/CD и знакомы с методами разработки, такими как agile
Знаете, как сделать отказоустойчивый масштабируемый сервис
Способны учиться и готовы делиться опытом
Умеете не только решать проблемы, но и находить причины их возникновения;
Легко находите общий язык с людьми

Обладаете здоровым перфекционизмом и хотите сделать мир немного или намного лучше.

Вам не обойтись без опыта работы с такими инструментами:

Реляционные и нереляционные базы данных: работа под нагрузкой, репликация, резервирование, профилирование
Веб-серверы и балансировщики нагрузки
Системы управления конфигурацией
Системы CI/CD и Git
Понимание Linux (например CentOS) на глубоком уровне
Сети вообще и сеть Linux в частности понимание работы IP/TCP/HTTP, умение диагностировать и решать проблемы
Docker и его системы оркестрации в продакшен-окружении

Стэк технологий в компании современный, кратко: Linux, bash , python, GO, CI/CD , Gitlab, Ansible, Terraform, Prometheus, Alertmanager, Grafana, Docker, Kubernetes, etc

Мы предлагаем:

Уютный офис в г.Астана
Возможность работать в гибридном/онлайн формате со стандартным графиком
Медицинское страхование
Официальное трудоустройство
Возможность стать частью IT компании, которая создает цифровые решения, меняющие жизнь людей к лучшему",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,23 апреля 2025,https://hh.kz/vacancy/118823347,Не указано
DevOps-инженер,АО Jusan Bank,"Алматы, проспект Аль-Фараби, 36",Не указано,"Требования:

Знания GIT, CI/CD, GitLab
Опыт работы с реляционными БД (Postgres)
Опыт работы с системами оркестрации контейнеров
Работа с хранилищами артефактов
Cистемы управления конфигурациями (SCM): Ansible/Puppet
Сборка метрик: Prometheus/Grafana
Системы сборки логов: ELK/EFK или Graylog
Понимание работы брокеров сообщений (RabbitMQ/Kafka)
Опыт работы с GNU/Linux: автоматизация задач, решение инцидентов ОС, мониторинг
Понимание работы компьютерных сетей
Умение работать в команде
Условия:

5\2 офис (гибрида, удаленки нет).

Работа по адресу - Алматы, проспект Аль-Фараби, 36

Офлайн формат работы

Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких

Бесплатная подписка на онлайн библитеку «Альпина Паблишер»

Приятная рабочая атмосфера в современном офисе в деловой части города

Участие в развитии интересных продуктов для рынка
Стать частью команды, которая любит свои продукты
Свободная, но в то же время плодотворная рабочая атмосфера",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,22 апреля 2025,https://hh.kz/vacancy/117575686,"Git,Puppet,RabbitMQ,Linux"
Системный аналитик (младший),ТОО Ломбард Деньги населению,Не указано,Не указано,"О нас

Мы продвигаем услуги альтернативного небанковского онлайн b2c кредитования в странах СНГ и Юго-Восточной Азии. Имеется команда разработчиков, главной задачей которой является разработка, поддержание и продвижение IT инфраструктуры, в которую входят бэкофис, сайт и мобильное приложение. Команда использует в своей работе гибкие методологии, следует последним трендам в управлении проектами и стремится прокачивать свои навыки, развиваясь вместе с продуктами и по мере выполнения возложенных на нее задач.

Основной для автоматизации бизнес-процессов в нашей компании является самописная CRM Система на базе php, postgresql.

Наши процессы насыщены интеграциями с государственными и платежными сервисами, а также с сервисами биометрии.

Чем вы будете заниматься:

Сбор, анализ и группировка требований заказчика (интервью и фиксация результатов), устранение противоречивости требований;

Разработка дизайна решения на основе требований и декомпозиция его на задачи;

Анализ дефектов на промышленной среде в качестве третьей линии поддержки;

Консультация смежных команд и участие в выработке совместного решения с другими командами;

Постановка ТЗ разработчикам (написание эпиков, пользовательских историй и задач);

Написание проектной документации, ее актуализация и согласование;

Подготовка спецификаций на интеграционное взаимодействие с внешними сервисами (REST, SOAP, очереди сообщений);

Разбор и маппинг интеграционных протоколов.

Наши ожидания от вас:

Практический опыт в ИТ-проектах в должности системного аналитика от одного года;

Навык сбора, анализа и группировки требований заказчика (интервью и фиксация результатов), устранение противоречивости требований;

Опыт описания бизнес-процессов;

Умение и желание писать структурированную документацию, разрабатывать шаблоны статей и документов для базы знаний.

Опыт подготовки спецификации на интеграционное взаимодействие;

Отличные коммуникационные навыки: умение грамотно задавать вопросы, делать выводы, четко излагать свои мысли в письменной/устной форме;

Знание методов и инструментов моделирования БП (BPMN, UML, др.);

Владение инструментами прототипирования/проектирования (Cawemo, Draw.io, Figma);

Навыки работы с Таск-трекерами, у нас используется Youtrack;

Опыт работы в МФО/банках;

Знание SQL на уровне написание запросов средней сложности (join, group, having, order).

А ещё большим плюсом будет, если вы имеете опыт работы в продуктовой команде, а продукты, над которыми вы работали - финансовые.

Условия

Рыночная заработная плата

Официальное трудоустройство согласно ТК РК

Работа в команде

Сложные и интересные задачи

Использование современных инструментов в управлении разработкой

Новый опыт и возможность профессионального и карьерного роста

График работы: 5/2",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,5 мая 2025,https://hh.kz/vacancy/120201507,"SQL,Системный анализ,BPMN,UML"
Middle DevOps Engineer,Автономный кластерный фонд Парк инновационных технологий (Astana hub),Не указано,Не указано,"Обязанности:
Разработка, настройка и сопровождение CI/CD пайплайнов (GitLab CI, Jenkins, или аналоги)
Поддержка и автоматизация инфраструктуры с использованием IaC (Terraform, Ansible и т.д.)
Развертывание и сопровождение микросервисов в Kubernetes / Docker Swarm
Мониторинг и логирование (Prometheus, Grafana, ELK, Loki, Sentry и т.д.)
Управление конфигурациями и секретами (Vault, SSM, Sealed Secrets)
Обеспечение безопасности, устойчивости и масштабируемости инфраструктуры
Взаимодействие с командами разработчиков, участие в code-review инфраструктурного кода
Требования:
Обязательные:
2–4 года опыта в DevOps или SRE
Отличные знания Linux-систем (Ubuntu, CentOS, Alpine)
Опыт работы с Docker и Kubernetes в продакшене
Владение системами CI/CD: GitLab CI, GitHub Actions, Jenkins
Опыт работы с Terraform или другими IaC-инструментами
Навыки работы с системами мониторинга и логирования
Опыт настройки сетей, DNS, SSL/TLS, VPN
Знание одного из скриптовых языков: Bash, Python, Go
Преимущества (необязательно, но желательно):
Опыт работы с облаками (AWS, GCP, Azure, Yandex Cloud)
Опыт настройки Service Mesh (Istio, Linkerd)
Сертификации: будет плюсом CKA, Terraform Associate, AWS Certified DevOps Engineer
Опыт миграции инфраструктуры между средами или облаками

Технологии и стек:

Docker, Kubernetes, Helm
GitLab CI / Jenkins / GitHub Actions
Terraform, Ansible
Prometheus, Grafana, ELK / Loki / Sentry
PostgreSQL, Redis, RabbitMQ
AWS / GCP / Yandex Cloud (по проекту)",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,24 апреля 2025,https://hh.kz/vacancy/119907949,Не указано
Junior DevOps Engineer,ТОО Частная компания Solva Technology Ltd.,"Алматы, Алмалы, Жибек Жолы, Райымбек батыра, проспект Жибек Жолы, 135",Не указано,"Компания Solva Technology – центр разработки финтех-лидера Solva Group и член крупнейшего в Центральной Азии технопарка Astana Hub – активно развивает проект Laboratory 3.0, суть которого в сильной подготовке начинающих DevOps-специалистов с гарантированным трудоустройством и выплатой стипендии. Проект предназначен для начинающих специалистов с базовыми знаниями, которые пройдут профессиональный отбор.

Компания ищет кандидатов, которые недавно закончили курсы и имеют хорошую теоретическую базу или кандидатов с небольшим опытом работы.

Приветствуется:

Опыт в системном администрировании или DevOps;
Опыт работы OS Linux;
Понимание DevOps lifecycle, основных концепций (СI/CD, CM, IaC);
Опыт работы Jenkins declarative pipelines и/или с GitLab Ci;
Опыт работы с Docker;
Опыт написания скриптов на Bash, Python;
Работа с оркестраторами микросервисов (Hashicorp Nomad);
Знание мониторинга при помощи Zabbix, Grafana;
Опыт автоматизации разворачивания инфраструктуры при помощи Terraform.

Обязанности:

Создание и администрирование инфраструктуры проектного решения в сотрудничестве с разработчиками и системными администраторами;
Разработка и поддержка CI/CD;
Интеграция Hashicorp Nomad для оркестрации микросервисов;

Условия:

Обучение с гарантированным трудоустройством в ключевые компании банковского и финтех-сектора.
Теоретическая программа и практические занятия оффлайн в комфортабельном офисе 40 часов в неделю.
Выплата стипендии с первого дня.
Широкие возможности для саморазвития и самореализации.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,25 апреля 2025,https://hh.kz/vacancy/117783949,Не указано
Бизнес/системный аналитик,ТОО Webkassa Development,"Нур-Султан (Астана), улица Динмухамеда Кунаева, 12/1",Не указано,"Что нужно будет делать:

сбор, формализация и согласование требований с заказчиками внутри компании;
анализ эффективности и выработка предложений по оптимизации процессов;
разработка технической документации, в том числе инструкций пользователя и технических инструкций;
участие в описании бизнес-процессов;
работа с большими объемами информации

Что ждем от кандидата:

логическое мышление;
знание методологии бизнес-анализа;
знание принципов и методик разработки информационных систем, принципов работы СУБД, жизненных циклов создания программных продуктов;
знание принципов тестирования программных продуктов;
знание стандартов в области информационных технологий;
умение работать с XML, SQL, UML, MS Visio, Balsamiq, Confluence, Jira;
умение и желание брать на себя инициативу, самостоятельно решать рабочие вопросы;
стремление к постоянному развитию;
ответственный подход к решению задач, исполнительность;
умение работать в команде.

Что мы предлагаем:

теплый и уютный офис в центре левобережья с видом на «Байтерек»;
безлимитный кофе и чай;
ежедневно свежие фрукты, орешки, сухофрукты;
новый полноценный тренажерный зал с душевыми кабинами прямо в офисе;
8 выездных корпоративов в год;
ноутбук + организованное рабочее место;
гибкая и рациональная система бонусирования.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,29 апреля 2025,https://hh.kz/vacancy/120078663,"Информационные технологии,SQL,UML,Разработка технических заданий,Английский язык,XML,BPMN,Моделирование бизнес процессов,Работа с большим объемом информации,Бизнес-анализ,СУБД"
Middle DevOps Engineer,ТОО MyCar Group,Не указано,Не указано,"Mycar Group входит в группу компаний Astana Group (Astana Motors, Mega Center, Mycar):

В офлайне — автоцентры Mycar по Казахстану, микрокредитная организация ""Mycar Finance"". В онлайне — ИТ продукты ""Mycar.kz"", ""Mycar PRO"", ""MyCredit"".

Опыт и знания

Работа с CI/CD (GitLab CI);
Управление инфраструктурой как кодом (Pulumi);
Контейнеризация и оркестрация (Docker, Kubernetes, Talos Linux);
Операционная система Linux (Ubuntu, RedHat, Centos);
Понимание подходов GitOps (ArgoCD, Flux) будет плюсом;
Мониторинг и логирование инфраструктуры (Prometheus, Grafana, Lok, Jaeger, Opentelemetry).

Задачи

Поддержка и развитие текущих пайплайнов CI/CD;
Автоматизация развертываний и управления инфраструктурой;
Поддержка Kubernetes-кластеров на основе Talos Linux.

Технический стек

GitLab CI, Pulumi, Docker, Kubernetes, Talos, ArgoCD, Flux, Prometheus, Grafana, Loki, Jaeger, Bash/Python, Ansible, Openstack.

Условия работы

График 10:00 до 19:00, либо с 9:00 до 18:00 (на ваш выбор);
Комфортный офис в ТРЦ Mega Alma-Ata на Розыбакиева, по всем IT стандартам

Большой соц.пакет и льготы помимо оклада:

Годовое обслуживание в мед. центрах Алматы для Вас и 2 Ваших близких людей, в год дается 400 000 тенге, пакет «Всё включено» (+аптека, стоматолог);
50% скидки во все фитнес-центры города, компания оплачивает Вам половину;
Бесплатная парковка в ТРЦ Mega, можно парковаться в любое время.
Материальная помощь при разных жизненных ситуациях;
Скидки на услуги в официальных дилерских центрах (15% на запчасти, 30% на услуги);
Предоставляем новейшее техническое оборудование (iMac, Macbook, HP, Dell);
1 Day Off в честь дня рождения;
Прямой доступ к руководству, открытость коммуникативных процессов;
Молодой коллектив;
Мы вкладываемся в развитие сотрудников, покупаем участие в конференциях и курсы;
Ежемесячные Sprint review с акционерами и IT-специалистами, с вкусной едой и разными напитками;
Яркая корп. культура: 10+ клубов по интересам, Mycar Talk, Open Talk with CEO/HR, Корп. библиотека.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,22 апреля 2025,https://hh.kz/vacancy/119802998,"GitLab CI,Docker,DevOps,OpenStack,Kubernetes"
Intern (Fixed Assets group),ТОО EY (Ernst & Young),Не указано,Не указано,"Responsibilities:

Assist to the appraiser to do valuation of fixed assets (buildings, constructions, machinery & equipment, transport, etc.), that includes the following:
collection of market information for construction costs and prices for different types of production equipment,
writing letters to suppliers of equipment or construction companies with the requests for pricing information,
doing site visits to collect technical information about appraised assets,
performing calculations of value of fixed assets in accordance with International Valuation Standards and International Financial Reporting Standards,
writing parts of valuation report,
doing administrative work with filing working papers, perform researches on potential clients, assistance with preparation of proposal to the clients.

Requirements:

Technical background (civil engineering, architecture, etc.)
Good analytical skills
Advanced user of MS applications (especially Excel), Programming skills is a plus
Intermediate English
Experience in valuation of fixed assets is a plus.",не требуется,"Полная занятость
Стажировка",График: 5/2,Рабочие часы: 8,Не указано,21 апреля 2025,https://hh.kz/vacancy/119765591,"Valuation,APM Civil Engineering,Английский язык,Excel,Fixed Assets,Capital equipment,Construction,Engineering,Architecture,Mathematical Analysis"
Системный бизнес аналитик (Business system analyst),ТОО BTS Digital,Не указано,Не указано,"О проекте в команду Sales/Loyalty:

•⁠ ⁠Участие в разработке и развитии программы лояльности с акцентом на персонализацию и повышение удержания клиентов.
•⁠ ⁠Создание и оптимизация решений, направленных на увеличение доли цифровых продаж через мобильное приложение.
•⁠ ⁠Разработка новых клиентских сценариев и сервисов в мобильном приложении для повышения удобства и вовлеченности пользователей.

Обязанности:

Анализ бизнес-процессов и формирование требований для разработки новых и доработки существующих систем
Сбор, анализ и документирование бизнес и системных требований
⁠Разработки пользовательских сценариев (use cases) и диаграмм бизнес-процессов (BPMN, UML)
Разработка и поддержка технической документации (ТЗ, API-спецификации, диаграммы процессов)
Подготовка технических заданий и согласование их с Team Lead
⁠Поддержка документации в актуальном состоянии
⁠Участвовать в планировании и обсуждении новых функций продукта
⁠Взаимодействие с разработчиками, тестировщиками и другими участниками команды
Требования:
Опыт работы аналитиком или в смежным ролях от 2-х лет
Опыт работы в Agile команде (Scrum, Kanban)
Умение понятно описывать задачи (user stories, схемы процессов)
Умение составлять спецификации API (Swagger, OpenAPI)
Знание инструментов: Jira, Confluence, Draw. io, Git, Figma
Знание структуры клиент-серверного взаимодействия и принципов работы REST API
Понимание архитектуры баз данных и умение составлять SQL-запросы
Понимание принципов работы REST и SOAP",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,21 апреля 2025,https://hh.kz/vacancy/119675781,"SQL,Atlassian Confluence,Atlassian Jira,API,Agile,REST,SOAP"
